# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
139264 68 0.967895719633218
139776 68.25 0.967899123920358
140288 68.5 0.967902697599896
140800 68.75 0.967906432836593
141312 69 0.967910307009471
141824 69.25 0.967914284561345
142336 69.5 0.967918324255946
142848 69.75 0.967922389407013
143360 70 0.967926456782367
143872 70.25 0.967930520087391
144384 70.5 0.967934586350605
144896 70.75 0.967938666989035
145408 71 0.967942767955383
145920 71.25 0.967946883728002
146432 71.5 0.967950997844416
146944 71.75 0.967955089361817
147456 72 0.967959141790955
147968 72.25 0.967963150034818
148480 72.5 0.967967122014174
148992 72.75 0.967971074318389
149504 73 0.967975024122808
150016 73.25 0.967978981429384
150528 73.5 0.96798294550988
151040 73.75 0.967986907224677
151552 74 0.96799085568556
152064 74.25 0.967994785283925
152576 74.5 0.967998698948281
153088 74.75 0.9680026058655
153600 75 0.968006515385565
154112 75.25 0.96801043118288
154624 75.5 0.968014349428339
155136 75.75 0.968018262015104
155648 76 0.968022162659237
156160 76.25 0.968026052058186
156672 76.5 0.968029939092176
157184 76.75 0.968033837510867
157696 77 0.968037760030309
158208 77.25 0.968041712976646
158720 77.5 0.968045694198468
159232 77.75 0.968049695334794
159744 78 0.968053707385548
160256 78.25 0.968057726714859
160768 78.5 0.968061758038931
161280 78.75 0.968065812275063
161792 79 0.968069900070804
162304 79.25 0.968074024788516
162816 79.5 0.968078179532776
163328 79.75 0.968082350454418
163840 80 0.96808652437655
164352 80.25 0.968090695792832
164864 80.5 0.968094868854179
165376 80.75 0.96809905368027
165888 81 0.968103260204293
166400 81.25 0.968107493727125
166912 81.5 0.968111753984663
167424 81.75 0.96811603629488
167936 82 0.968120332230762
168448 82.25 0.968124628954735
168960 82.5 0.968128908773413
169472 82.75 0.968133151008899
169984 83 0.968137336399661
170496 83.25 0.968141451885203
171008 83.5 0.968145493107621
171520 83.75 0.968149463634672
172032 84 0.968153372011684
172544 84.25 0.968157228405908
173056 84.5 0.968161041713132
173568 84.75 0.968164817021624
174080 85 0.968168553443731
174592 85.25 0.968172243088281
175104 85.5 0.968175872003494
175616 85.75 0.968179422798818
176128 86 0.968182877473889
176640 86.25 0.968186219186304
177152 86.5 0.968189433253419
177664 86.75 0.968192508932492
178176 87 0.968195442895298
178688 87.25 0.968198243163526
179200 87.5 0.968200930680645
179712 87.75 0.96820353639441
180224 88 0.968206094316688
180736 88.25 0.968208633387618
181248 88.5 0.968211171331648
181760 88.75 0.968213712202212
182272 89 0.968216247538814
182784 89.25 0.968218760211968
183296 89.5 0.968221229927759
183808 89.75 0.968223639148978
184320 90 0.96822597769991
184832 90.25 0.968228244366557
185344 90.5 0.968230445041897
185856 90.75 0.968232588803001
186368 91 0.968234684258964
186880 91.25 0.968236737729347
187392 91.5 0.968238753067382
187904 91.75 0.968240731867563
188416 92 0.968242673218378
188928 92.25 0.96824457331058
189440 92.5 0.968246425691624
189952 92.75 0.968248222325489
190464 93 0.968249954801777
190976 93.25 0.96825161514424
191488 93.5 0.968253196589737
192000 93.75 0.968254695183579
192512 94 0.968256112154281
193024 94.25 0.968257455472494
193536 94.5 0.96825873853071
194048 94.75 0.968259975481968
194560 95 0.968261175386088
195072 95.25 0.968262338628105
195584 95.5 0.968263457737114
196096 95.75 0.968264521734478
196608 96 0.968265520980269
197120 96.25 0.968266449867467
197632 96.5 0.9682673069955
198144 96.75 0.968268094374998
198656 97 0.968268817116576
199168 97.25 0.968269483418374
199680 97.5 0.968270103476789
200192 97.75 0.968270686607136
200704 98 0.968271237773202
201216 98.25 0.968271755913885
201728 98.5 0.968272235582482
202240 98.75 0.968272671111696
202752 99 0.968273060755123
