# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
113152 55.25 0.000870385221477647
113664 55.5 0.000869289874586465
114176 55.75 0.000868211520757933
114688 56 0.00086715040286232
115200 56.25 0.000866106707030896
115712 56.5 0.000865080707396949
116224 56.75 0.00086407284865915
116736 57 0.000863083710042179
117248 57.25 0.000862113846197641
117760 57.5 0.000861163560953684
118272 57.75 0.000860232867217655
118784 58 0.000859321802174513
119296 58.25 0.000858430737418487
119808 58.5 0.00085756014420938
120320 58.75 0.000856710018095653
120832 59 0.00085587978874556
121344 59.25 0.00085506892370698
121856 59.5 0.000854277384909255
122368 59.75 0.00085350523123221
122880 60 0.000852751900304054
123392 60.25 0.000852016197414845
123904 60.5 0.000851297025349362
124416 60.75 0.000850593836825818
124928 61 0.000849906228056702
125440 61.25 0.000849233357647784
125952 61.5 0.000848574056613885
126464 61.75 0.000847927358381477
126976 62 0.000847292564027845
127488 62.25 0.000846668833530687
128000 62.5 0.00084605513095796
128512 62.75 0.000845450699532117
129024 63 0.000844855257954264
129536 63.25 0.000844268561881726
130048 63.5 0.000843690087876137
130560 63.75 0.000843119385409751
131072 64 0.000842556471979363
131584 64.25 0.000842001599994131
132096 64.5 0.000841454852630752
132608 64.75 0.000840916264027821
133120 65 0.000840386114430212
133632 65.25 0.000839864831617558
134144 65.5 0.000839352559028056
134656 65.75 0.000838849189044661
135168 66 0.000838354852722021
135680 66.25 0.000837870019211478
136192 66.5 0.000837395039278258
136704 66.75 0.000836929906628008
137216 67 0.000836474602456452
137728 67.25 0.000836029399622181
138240 67.5 0.000835594613678587
138752 67.75 0.000835169841008474
139264 68 0.000834752991870382
139776 68.25 0.000834343889078514
140288 68.5 0.000833942835469329
140800 68.75 0.000833549925274217
141312 69 0.00083316488745498
141824 69.25 0.000832787422407155
142336 69.5 0.000832417471622225
142848 69.75 0.000832055087439196
143360 70 0.000831700169295271
143872 70.25 0.000831352594761528
144384 70.5 0.00083101273682579
144896 70.75 0.00083068157873011
145408 71 0.000830360153967132
145920 71.25 0.000830049015290067
146432 71.5 0.000829748361527695
146944 71.75 0.000829458490869891
147456 72 0.000829179925189939
147968 72.25 0.000828913167653462
148480 72.5 0.000828658591187657
148992 72.75 0.000828416647751923
149504 73 0.000828191267223558
150016 73.25 0.000827995415117069
150528 73.5 0.000827832333535548
151040 73.75 0.000827703507781748
151552 74 0.000827609861448007
152064 74.25 0.000827551871853695
152576 74.5 0.000827529429754737
153088 74.75 0.000827541726063992
153600 75 0.000827587429911945
154112 75.25 0.000827664997079972
154624 75.5 0.000827772748719362
155136 75.75 0.000827908662371106
155648 76 0.000828070259930097
156160 76.25 0.000828254849885284
156672 76.5 0.000828459979169176
157184 76.75 0.00082868334999263
157696 77 0.000828922745530266
158208 77.25 0.000829175966817896
158720 77.5 0.000829440885031946
159232 77.75 0.000829715626308689
159744 78 0.000829998764673975
160256 78.25 0.000830283253628559
160768 78.5 0.000830541760250429
161280 78.75 0.000830772664627315
161792 79 0.000830980330338122
162304 79.25 0.000831171429544296
162816 79.5 0.000831361994132894
163328 79.75 0.000831561186838366
163840 80 0.000831773901311736
164352 80.25 0.000832004503873842
164864 80.5 0.000832256750944641
165376 80.75 0.000832533986625387
165888 81 0.000832839152147698
166400 81.25 0.000833174604816375
166912 81.5 0.000833541842539114
167424 81.75 0.000833941390733557
167936 82 0.000834372935630053
168448 82.25 0.000834835600091556
168960 82.5 0.000835328117224384
169472 82.75 0.000835848831562376
169984 83 0.000836395681468398
170496 83.25 0.000836966335815221
171008 83.5 0.000837558470630744
171520 83.75 0.000838169987155477
172032 84 0.000838798945237543
172544 84.25 0.000839440574439504
173056 84.5 0.000840091688047194
173568 84.75 0.000840751614317451
174080 85 0.000841420682997475
174592 85.25 0.000842100095953183
175104 85.5 0.000842791510999542
175616 85.75 0.000843496715962474
176128 86 0.000844218034684939
176640 86.25 0.000844960299791108
177152 86.5 0.000845725147435422
177664 86.75 0.000846513391443014
178176 87 0.000847325458444568
178688 87.25 0.000848161287657085
179200 87.5 0.000849020572869548
179712 87.75 0.000849903047865633
180224 88 0.000850808525657875
180736 88.25 0.000851736693552546
181248 88.5 0.000852686933058152
181760 88.75 0.000853658385700161
182272 89 0.00085465016516057
182784 89.25 0.000855661428115688
183296 89.5 0.000856691235636369
183808 89.75 0.000857738460607782
184320 90 0.00085880192826926
184832 90.25 0.000859880611587322
185344 90.5 0.000860973628186575
185856 90.75 0.000862080126535334
186368 91 0.000863199329817537
186880 91.25 0.000864330713699843
187392 91.5 0.000865474030255785
187904 91.75 0.000866629113830754
188416 92 0.000867795720675945
188928 92.25 0.000868973640198576
189440 92.5 0.000870162920617828
189952 92.75 0.000871363932264311
190464 93 0.0008725772882931
190976 93.25 0.00087380372440987
191488 93.5 0.000875043962050182
192000 93.75 0.00087629859560072
192512 94 0.000877568126997528
193024 94.25 0.000878853157454887
193536 94.5 0.000880154515095098
194048 94.75 0.000881473124360859
194560 95 0.00088280973906695
195072 95.25 0.000884164836158242
195584 95.5 0.000885538741054372
196096 95.75 0.000886931805953595
196608 96 0.000888344431973779
197120 96.25 0.000889776941463178
197632 96.5 0.000891229502285737
198144 96.75 0.000892702149090555
198656 97 0.000894194816359947
199168 97.25 0.000895707351092148
199680 97.5 0.000897239555034786
200192 97.75 0.000898791249237073
200704 98 0.000900362268728757
201216 98.25 0.000901952362671242
201728 98.5 0.00090356112155342
202240 98.75 0.000905188052059241
202752 99 0.000906832740577938
203264 99.25 0.000908494913682014
203776 99.5 0.000910174306649004
204288 99.75 0.000911870487031568
204800 100 0.000913582854560723
205312 100.25 0.000915310822783927
205824 100.5 0.000917053998284247
206336 100.75 0.000918812201503964
206848 101 0.000920585307911517
207360 101.25 0.000922373112172952
207872 101.5 0.000924175301872208
208384 101.75 0.000925991491368622
208896 102 0.000927821286851858
209408 102.25 0.000929664369753179
209920 102.5 0.000931520574392776
210432 102.75 0.000933389871130856
210944 103 0.000935272273051315
211456 103.25 0.000937167755372831
211968 103.5 0.000939076221251709
212480 103.75 0.000940997484285458
212992 104 0.000942931272501101
213504 104.25 0.000944877312275984
214016 104.5 0.000946835494906771
214528 104.75 0.000948805999603104
215040 105 0.000950789174239473
215552 105.25 0.000952785182875218
216064 105.5 0.000954793763726565
216576 105.75 0.000956814397150923
217088 106 0.000958846752990998
217600 106.25 0.000960890956965256
218112 106.5 0.000962947369773966
218624 106.75 0.000965016110116627
219136 107 0.000967096854222761
219648 107.25 0.000969189147423172
220160 107.5 0.000971292790741068
220672 107.75 0.000973407892735712
221184 108 0.000975534626914702
221696 108.25 0.00097767299812262
222208 108.5 0.000979822861965449
222720 108.75 0.000981984084247511
223232 109 0.000984156588569721
223744 109.25 0.000986340253934959
224256 109.5 0.000988534846799248
224768 109.75 0.000990740107645769
225280 110 0.000992955889595889
225792 110.25 0.00099518217324382
226304 110.5 0.000997418921543856
226816 110.75 0.000999665907975491
227328 111 0.0010019227278556
227840 111.25 0.00100418894057136
228352 111.5 0.00100646424756107
228864 111.75 0.00100874859996794
229376 112 0.00101104200526796
229888 112.25 0.00101334429186793
230400 112.5 0.00101565495323981
230912 112.75 0.00101797325605128
231424 113 0.00102029854168386
231936 113.25 0.00102263046153772
232448 113.5 0.00102496892907565
232960 113.75 0.00102731381640936
233472 114 0.00102966467638998
233984 114.25 0.00103202077674761
234496 114.5 0.00103438143058388
235008 114.75 0.00103674628765667
235520 115 0.00103911528486965
236032 115.25 0.00104148832832738
236544 115.5 0.0010438650565415
237056 115.75 0.00104624484531273
237568 116 0.00104862714464273
238080 116.25 0.00105101188494991
238592 116.5 0.00105339919764196
239104 116.75 0.00105578913947772
239616 117 0.00105818159947667
240128 117.25 0.00106057641081314
240640 117.5 0.00106297351739972
241152 117.75 0.00106537299403741
241664 118 0.00106777489321449
242176 118.25 0.00107017910484991
242688 118.5 0.00107258541270618
243200 118.75 0.00107499369625893
243712 119 0.00107740403269703
244224 119.25 0.00107981655561213
244736 119.5 0.00108223122373386
245248 119.75 0.00108464777262737
245760 120 0.00108706590546448
246272 120.25 0.00108948550223673
246784 120.5 0.00109190662893199
247296 120.75 0.0010943293683877
247808 121 0.00109675365495228
248320 121.25 0.00109917933570578
248832 121.5 0.00110160629501997
249344 121.75 0.00110403427495962
249856 122 0.00110646307273783
250368 122.25 0.00110889256554066
250880 122.5 0.00111132253793584
251392 122.75 0.00111375258716781
251904 123 0.00111618218025231
252416 123.25 0.00111861079202351
252928 123.5 0.0011210379817017
253440 123.75 0.00112346335893709
253952 124 0.0011258865064452
254464 124.25 0.0011283069292848
254976 124.5 0.00113072403979863
255488 124.75 0.00113313717482192
256000 125 0.00113554566633527
256512 125.25 0.00113794895314626
257024 125.5 0.00114034663542156
257536 125.75 0.00114273837407496
258048 126 0.00114512369340862
258560 126.25 0.00114750190047643
259072 126.5 0.00114987225951352
259584 126.75 0.00115223428070562
260096 127 0.00115458781575978
260608 127.25 0.00115693282831789
261120 127.5 0.00115926905412297
261632 127.75 0.00116159589610346
262144 128 0.00116391266352175
262656 128.25 0.00116621891314203
263168 128.5 0.00116851455027326
263680 128.75 0.00117079959696504
264192 129 0.00117307387250414
264704 129.25 0.0011753368814278
265216 129.5 0.00117758794392099
265728 129.75 0.00117982655611838
266240 130 0.00118205251877328
266752 130.25 0.00118426565013076
267264 130.5 0.00118646552359429
267776 130.75 0.00118865150196149
268288 131 0.0011908229933417
268800 131.25 0.00119297963650355
269312 131.5 0.00119512123527275
269824 131.75 0.00119724751525972
270336 132 0.0011993579429246
270848 132.25 0.00120145175915857
271360 132.5 0.0012035281492428
271872 132.75 0.00120558641806555
272384 133 0.00120762595824253
272896 133.25 0.0012096460166836
273408 133.5 0.00121164571182125
273920 133.75 0.00121362420680745
274432 134 0.00121558073183928
274944 134.25 0.00121751449236955
275456 134.5 0.00121942464120405
275968 134.75 0.00122131046069626
276480 135 0.0012231715835669
276992 135.25 0.00122500794582802
277504 135.5 0.00122681948036283
278016 135.75 0.00122860588783748
278528 136 0.00123036670161305
279040 136.25 0.0012321015285277
279552 136.5 0.00123381357149725
280064 136.75 0.00123550668819566
280576 137 0.00123717928477517
281088 137.25 0.0012388293410571
281600 137.5 0.00124045459448649
282112 137.75 0.00124205275721932
282624 138 0.00124362185063003
283136 138.25 0.00124516034920122
283648 138.5 0.00124666715847725
284160 138.75 0.00124814149708481
284672 139 0.00124958281709792
285184 139.25 0.00125099078884196
285696 139.5 0.00125236532525308
286208 139.75 0.00125370657527444
286720 140 0.00125501477015588
287232 140.25 0.0012562899684375
287744 140.5 0.00125753206384905
288256 140.75 0.00125874085992626
288768 141 0.00125991599805135
289280 141.25 0.00126105682159022
289792 141.5 0.00126216243738716
290304 141.75 0.00126323195974419
290816 142 0.00126426463955051
291328 142.25 0.00126525810237067
291840 142.5 0.00126621374037207
292352 142.75 0.0012671333319388
292864 143 0.00126801494494122
293376 143.25 0.00126885686253306
293888 143.5 0.00126965775468299
294400 143.75 0.00127041709197152
294912 144 0.00127113466037911
295424 144.25 0.00127181014267533
295936 144.5 0.00127244318087249
296448 144.75 0.00127303363199042
296960 145 0.00127358140136028
297472 145.25 0.00127408636104207
297984 145.5 0.00127454833540498
298496 145.75 0.00127496701439451
299008 146 0.00127534168951108
299520 146.25 0.00127565058163939
300032 146.5 0.00127587817625407
300544 146.75 0.00127602664022664
301056 147 0.00127609914577087
301568 147.25 0.0012760994124504
302080 147.5 0.00127603161114006
302592 147.75 0.00127590037284243
303104 148 0.00127571056555467
303616 148.25 0.00127546687534008
304128 148.5 0.00127517351815739
304640 148.75 0.0012748342845511
305152 149 0.00127445273420151
305664 149.25 0.00127403222405206
306176 149.5 0.0012735757183045
306688 149.75 0.00127308561367082
307200 150 0.0012725639540293
307712 150.25 0.00127202450532541
308224 150.5 0.00127147536295477
308736 150.75 0.00127091596151795
309248 151 0.0012703459916389
309760 151.25 0.00126976584678307
310272 151.5 0.00126917548930192
310784 151.75 0.00126857404190335
311296 152 0.0012679600069889
311808 152.25 0.00126733172791629
312320 152.5 0.0012666877784532
312832 152.75 0.00126602697860646
313344 153 0.0012653481102825
313856 153.25 0.00126464968268794
314368 153.5 0.00126392996706666
314880 153.75 0.00126318721064826
315392 154 0.00126241982803853
315904 154.25 0.00126162653635865
316416 154.5 0.00126080648229286
316928 154.75 0.00125995891026353
317440 155 0.00125908289513325
317952 155.25 0.00125817725669963
318464 155.5 0.00125724072049246
318976 155.75 0.00125627213608068
319488 156 0.00125527061515375
320000 156.25 0.00125423356072077
320512 156.5 0.00125314764227463
321024 156.75 0.00125200952972725
321536 157 0.00125081924241034
322048 157.25 0.00124957756964831
322560 157.5 0.00124828536145581
323072 157.75 0.00124694268267582
323584 158 0.00124555000986202
324096 158.25 0.00124410866926426
324608 158.5 0.00124262071255443
325120 158.75 0.00124108872364626
325632 159 0.00123951567646956
326144 159.25 0.00123790483861337
326656 159.5 0.00123625967667133
327168 159.75 0.00123458374051044
327680 160 0.00123288054515181
328192 160.25 0.00123115345816128
328704 160.5 0.00122940557007687
329216 160.75 0.00122763956272535
329728 161 0.0012258576591806
330240 161.25 0.00122406170147808
330752 161.5 0.00122225325765262
331264 161.75 0.00122043360463861
331776 162 0.00121860358448391
332288 162.25 0.00121676351508653
332800 162.5 0.00121491330105543
333312 162.75 0.00121305266023176
333824 163 0.00121118124541808
334336 163.25 0.00120929857207922
334848 163.5 0.00120740389393502
335360 163.75 0.00120549621754907
335872 164 0.00120357447363853
336384 164.25 0.00120163768915337
336896 164.5 0.00119968501833794
337408 164.75 0.0011977156443422
337920 165 0.0011957286784634
338432 165.25 0.0011937231675676
338944 165.5 0.0011916982143189
339456 165.75 0.00118965311525093
339968 166 0.00118758740302023
340480 166.25 0.00118550075876379
340992 166.5 0.0011833928740828
341504 166.75 0.0011812632417233
342016 167 0.00117911112290688
342528 167.25 0.0011769359707566
343040 167.5 0.00117473755678868
343552 167.75 0.0011725159514487
344064 168 0.00117027143070165
344576 168.25 0.00116800439669243
345088 168.5 0.0011657153616943
345600 168.75 0.00116340498010834
346112 169 0.00116107408598427
346624 169.25 0.00115872371551622
347136 169.5 0.00115635511164832
347648 169.75 0.00115396969153939
348160 170 0.00115156895682264
348672 170.25 0.00114915438042399
349184 170.5 0.00114672735352897
349696 170.75 0.00114428923900468
350208 171 0.00114184147467566
