# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
21504 10.5 504.763127919773 519.229219930287 77.6781969070435 74.8866109848022 72.5446200370789 0 5.16328167915344 126 287840.612848331 287840.612848331 21555408 21555408 207361.179732802 207361.179732802 15528576 15528576 694.252777405976 1428309.96510442 14904.812363417 1413405.152741 3604 7341476 76724 7264752 0 0 0 0 77.363765001297 1718182581.97432 27104
22016 10.75 505.13168048319 518.89427474285 79.4052720069885 76.6136860847473 74.2286791801453 0 5.18044376373291 129 288050.779538116 288050.779538116 22068632 22068632 207512.584401877 207512.584401877 15898304 15898304 700.460731853846 1418452.29972968 15067.4396478589 1403384.86008182 3630 7342963 78211 7264752 0 0 0 0 79.0830140113831 1718182583.7014 27743
22528 11 504.325167012218 518.541051773785 81.3123550415039 78.5207691192627 76.0461995601654 0 5.3297119140625 132 287590.866127421 287590.866127421 22581856 22581856 207181.261498993 207181.261498993 16268032 16268032 708.296595726783 1453678.1200494 15096.9716488114 1438581.14840059 3812 7987319 79703 7907616 0 0 0 0 80.9827597141266 1718182585.60848 28382
23040 11.25 505.051291530528 518.245240178427 82.9814610481262 80.189875125885 77.6383235454559 0 5.34708952903748 135 288004.937827182 288004.937827182 23095080 23095080 207479.559905555 207479.559905555 16637760 16637760 717.555930028737 1495103.01690863 15145.595627954 1479957.42128068 3838 7988754 81138 7907616 0 0 0 0 82.6447126865387 1718182587.27758 29021
23552 11.5 505.903422282194 517.984211390953 84.6253869533539 81.8338010311127 79.231969833374 0 5.42349886894226 138 288490.864441507 288490.864441507 23608304 23608304 207829.622792834 207829.622792834 17007488 17007488 722.362078313451 1483046.05819731 15283.4461281771 1467762.61206913 3936 8007821 82637 7925184 0 0 0 0 84.2813186645508 1718182588.92151 29660
24064 11.75 506.653382541664 517.747951351812 86.2806169986725 83.4890310764313 80.8440549373627 0 5.4404149055481 141 288918.528446181 288918.528446181 24121528 24121528 208137.713133738 208137.713133738 17377216 17377216 728.033627753053 1473191.12881982 15434.5704240491 1457756.55839577 3962 8009305 84121 7925184 0 0 0 0 85.9294371604919 1718182590.57674 30299
24576 12 507.307273260136 517.533601675738 87.9470770359039 85.1554911136627 82.4265275001526 0 5.58225727081299 144 289291.408901845 289291.408901845 24634752 24634752 208406.337253249 208406.337253249 17746944 17746944 735.796314061543 1507393.77413583 15472.7349961863 1491921.03913964 4144 8653667 85619 8568048 0 0 0 0 87.5888514518738 1718182592.2432 30938
25088 12.25 507.392280036305 517.322116859587 89.7065858840942 86.914999961853 84.1105756759644 0 5.6007239818573 147 289339.883921503 289339.883921503 25147976 25147976 208441.258792515 208441.258792515 18116672 18116672 744.45897077665 1546619.23014832 15519.8072858812 1531099.42286244 4170 8655109 87061 8568048 0 0 0 0 89.3407213687897 1718182594.00271 31577
25600 12.5 507.790802145962 517.128234291248 91.4107570648193 88.6191711425781 85.7594041824341 0 5.68141555786133 150 289567.140711732 289567.140711732 25661200 25661200 208604.97521758 208604.97521758 18486400 18486400 748.139443420404 1533268.43683893 15633.9555923659 1517634.48124656 4268 8674177 88561 8585616 0 0 0 0 91.0378637313843 1718182595.70688 32216
26112 12.75 508.37751841498 516.954949281219 93.0788199901581 90.2872340679169 87.3842446804047 0 5.69840550422668 153 289901.715012233 289901.715012233 26174424 26174424 208846.003476149 208846.003476149 18856128 18856128 753.348540786225 1523458.47198492 15775.1886863517 1507683.28329857 4294 8675662 90046 8585616 0 0 0 0 92.6989047527313 1718182597.37494 32855
