# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
126976 62 1.00552435502923
127488 62.25 1.00474101157545
128000 62.5 1.00499692811416
128512 62.75 1.00524662219487
129024 63 1.00551263028094
129536 63.25 1.0057745364052
130048 63.5 1.00604616642152
130560 63.75 1.00631970819223
131072 64 1.00658859451016
131584 64.25 1.00529072225927
132096 64.5 1.00552123314696
132608 64.75 1.00576177054915
133120 65 1.00599658224516
133632 65.25 1.0062426138452
134144 65.5 1.00621983619553
134656 65.75 1.00642349856649
135168 66 1.00663668930871
135680 66.25 1.00684622354416
136192 66.5 1.00705084136888
136704 66.75 1.00726098966918
137216 67 1.00746934405783
137728 67.25 1.00766962281406
138240 67.5 1.00788561859252
138752 67.75 1.0077776069709
139264 68 1.00802955193779
139776 68.25 1.00829945542947
140288 68.5 1.00856926729217
140800 68.75 1.00825538201411
141312 69 1.00848941735036
141824 69.25 1.00870980106119
142336 69.5 1.00833525233165
142848 69.75 1.00857597227797
143360 70 1.0088139447228
143872 70.25 1.00905306872329
144384 70.5 1.00929501290978
144896 70.75 1.00950936579566
145408 71 1.00968051283564
145920 71.25 1.00914112246688
146432 71.5 1.00812821692999
146944 71.75 1.00834247687056
147456 72 1.00854291239639
147968 72.25 1.00872266265276
148480 72.5 1.00893587668969
148992 72.75 1.00915148374371
149504 73 1.00934298521321
150016 73.25 1.00959569497846
150528 73.5 1.00985512441309
151040 73.75 1.01011835556073
151552 74 1.01037438769031
152064 74.25 1.0106524219288
152576 74.5 1.01093569211553
153088 74.75 1.00994942226189
153600 75 1.01023110044665
154112 75.25 1.01052042310493
154624 75.5 1.01081994201427
155136 75.75 1.01050348554187
155648 76 1.01083831254577
156160 76.25 1.0111294119671
156672 76.5 1.01141427368812
157184 76.75 1.0117045579066
157696 77 1.01198156299435
158208 77.25 1.01225871178741
158720 77.5 1.0125276987934
159232 77.75 1.01277323082178
159744 78 1.01304337595204
160256 78.25 1.01216171895161
160768 78.5 1.01247968156964
161280 78.75 1.01228096182183
161792 79 1.01257860259886
