# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
30208 29.5 1.01041427774681
30720 30 1.00987508952006
31232 30.5 1.00931396358712
31744 31 1.00875883246797
32256 31.5 1.00822371150842
32768 32 1.00771850103659
33280 32.5 1.00724711181935
33792 33 1.00733969868696
34304 33.5 1.00761756722302
34816 34 1.00786201434885
35328 34.5 1.00795122077375
35840 35 1.00818793647999
36352 35.5 1.00842459784292
36864 36 1.00866090795621
37376 36.5 1.0088968046041
37888 37 1.009132521455
38400 37.5 1.00936880046278
38912 38 1.00960683395268
39424 38.5 1.00984768847252
39936 39 1.01009168920629
40448 39.5 1.01033262013233
40960 40 1.01057545351307
41472 40.5 1.0108220710049
41984 41 1.01107526893032
42496 41.5 1.01133646992277
43008 42 1.01160697406458
43520 42.5 1.01188719571416
44032 43 1.01217778101942
44544 43.5 1.01247989578649
45056 44 1.01279348104442
45568 44.5 1.01311721781178
46080 45 1.01344861120852
46592 45.5 1.01378648877963
47104 46 1.01413120754605
47616 46.5 1.01448311230442
48128 47 1.01484050415279
48640 47.5 1.01519297681423
49152 48 1.01547062760267
49664 48.5 1.01573619969135
50176 49 1.01599654658133
50688 49.5 1.01625225938648
51200 50 1.01650368250078
51712 50.5 1.01675136832818
52224 51 1.01699621971585
52736 51.5 1.01723904068869
53248 52 1.01748016179627
53760 52.5 1.0177218106806
54272 53 1.01796587262802
54784 53.5 1.01821144079365
55296 54 1.01845561866804
55808 54.5 1.01869648468043
56320 55 1.01893299019257
56832 55.5 1.01916498176353
57344 56 1.01939262062454
57856 56.5 1.01961596006965
58368 57 1.01983499357206
58880 57.5 1.02004994592813
59392 58 1.02026127973234
59904 58.5 1.02046934164137
60416 59 1.02067421753913
60928 59.5 1.02087596132
61440 60 1.02107513686559
61952 60.5 1.02127258074622
62464 61 1.02146881175186
62976 61.5 1.02166394111307
63488 62 1.02185839200691
64000 62.5 1.0220530858882
64512 63 1.02224902182948
65024 63.5 1.02244686237658
65536 64 1.02264599065078
66048 64.5 1.0228458239868
66560 65 1.02304631244998
67072 65.5 1.02324779482771
67584 66 1.02345102797621
68096 66.5 1.02365716639773
68608 67 1.0238675687796
69120 67.5 1.02408339468516
69632 68 1.02430473382193
70144 68.5 1.02453163938218
70656 69 1.02476456334711
71168 69.5 1.02500436795525
71680 70 1.0252524003607
72192 70.5 1.02551031944356
72704 71 1.02577979119897
73216 71.5 1.02606287208127
73728 72 1.02636035085967
74240 72.5 1.02664199561841
74752 73 1.02693676406541
75264 73.5 1.02724766586873
75776 74 1.02757483115517
76288 74.5 1.02791843841628
76800 75 1.0282788317223
77312 75.5 1.02865491132078
77824 76 1.02904058384083
78336 76.5 1.02943166346957
78848 77 1.02982647606892
79360 77.5 1.0302247690435
79872 78 1.0306233941928
80384 78.5 1.03101400827336
80896 79 1.03139761813926
81408 79.5 1.03177533041519
81920 80 1.03214814093727
82432 80.5 1.03251690383233
82944 81 1.0328824290284
83456 81.5 1.03324550634072
83968 82 1.03360686911694
84480 82.5 1.03396717293385
84992 83 1.03432691794436
85504 83.5 1.03468642176145
86016 84 1.0350459421093
86528 84.5 1.03540583819238
87040 85 1.03576663553805
87552 85.5 1.03612882260014
88064 86 1.03649240463458
88576 86.5 1.03685683644267
89088 87 1.03722156380409
89600 87.5 1.03758652372614
90112 88 1.03795194570121
90624 88.5 1.03831768709679
91136 89 1.03868293577571
91648 89.5 1.03904655673037
92160 90 1.03940755861938
92672 90.5 1.03976518701548
93184 91 1.04011831174367
93696 91.5 1.04046582149792
94208 92 1.04080685021908
94720 92.5 1.04114022715027
95232 93 1.04146466916228
95744 93.5 1.041778536401
96256 94 1.0420801910064
96768 94.5 1.04236805620058
97280 95 1.04264046286806
97792 95.5 1.04289529833581
98304 96 1.04313090870418
98816 96.5 1.04334631507965
99328 97 1.04353915396061
99840 97.5 1.04370220766789
100352 98 1.04383327862708
100864 98.5 1.04393206526232
101376 99 1.04399823320464
101888 99.5 1.04403105528347
102400 100 1.04403290064973
102912 100.5 1.04401406376646
103424 101 1.04397810854856
103936 101.5 1.04392086855485
104448 102 1.04383832587886
104960 102.5 1.04372879397986
105472 103 1.04359814426813
105984 103.5 1.04344807589551
106496 104 1.04328024701206
107008 104.5 1.04256012432793
107520 105 1.04137496713887
108032 105.5 1.04010420906988
108544 106 1.03876839350554
109056 106.5 1.03738919583305
109568 107 1.03641339502877
110080 107.5 1.03691900922144
110592 108 1.03741600808575
111104 108.5 1.03784888624049
111616 109 1.03825211055311
112128 109.5 1.03861164139696
112640 110 1.03890125730218
113152 110.5 1.03912146072506
113664 111 1.03967180594725
114176 111.5 1.04042734880258
114688 112 1.04128210388532
115200 112.5 1.04213217830675
115712 113 1.04293526789497
116224 113.5 1.04367710694703
116736 114 1.04434183148772
117248 114.5 1.04493145714721
117760 115 1.04592431986101
118272 115.5 1.04646812943073
118784 116 1.04686312097332
119296 116.5 1.04756691296036
119808 117 1.04843828195005
120320 117.5 1.04919124025011
120832 118 1.04987381345918
121344 118.5 1.05055496160165
121856 119 1.05118790541688
122368 119.5 1.05178546707622
122880 120 1.05235023886519
123392 120.5 1.0528782581471
123904 121 1.0533677491126
124416 121.5 1.05412317120685
124928 122 1.05492744723162
125440 122.5 1.05570824568681
125952 123 1.05646498424255
126464 123.5 1.05719788257413
126976 124 1.0579076689191
127488 124.5 1.05859486905584
128000 125 1.05926082827311
128512 125.5 1.05990773531262
129024 126 1.0605381338867
129536 126.5 1.06115476245018
130048 127 1.06175513589658
130560 127.5 1.062338177676
131072 128 1.06290738201751
131584 128.5 1.06346420599747
132096 129 1.06400878700413
132608 129.5 1.0645412294595
133120 130 1.06506160765512
133632 130.5 1.06557000455772
134144 131 1.06606670831399
134656 131.5 1.0665525597901
135168 132 1.06703432818445
135680 132.5 1.06751784910901
136192 133 1.067993280079
136704 133.5 1.06845128966668
137216 134 1.06889468411121
137728 134.5 1.06932318693383
138240 135 1.06973800711494
138752 135.5 1.07014392350488
139264 136 1.07054361863914
139776 136.5 1.07093875288394
140288 137 1.07133022494672
140800 137.5 1.07171831160263
141312 138 1.07210037931413
141824 138.5 1.07268265310161
142336 139 1.07293313047988
142848 139.5 1.07300589896871
143360 140 1.0730184745739
143872 140.5 1.07297323415264
144384 141 1.07287306751246
144896 141.5 1.07272014773253
145408 142 1.07251590108161
145920 142.5 1.07226120792688
146432 143 1.07195648680549
146944 143.5 1.07160200338371
147456 144 1.07119970320557
147968 144.5 1.07076172667603
148480 145 1.07029260610896
148992 145.5 1.06978806960526
149504 146 1.06924022517101
150016 146.5 1.06863884759446
150528 147 1.06797683880883
151040 147.5 1.06726108743328
151552 148 1.06650099030494
152064 148.5 1.06569099272999
152576 149 1.06482172172616
153088 149.5 1.06387209411318
153600 150 1.06280077867115
154112 150.5 1.0615917695901
154624 151 1.06025484891124
155136 151.5 1.05880632637174
155648 152 1.05727184955361
156160 152.5 1.05567828611898
156672 153 1.0540636868841
157184 153.5 1.05245788303911
157696 154 1.05087251261466
158208 154.5 1.0493170433586
158720 155 1.04794142709383
159232 155.5 1.0465319503851
159744 156 1.04507910211757
160256 156.5 1.04359878440986
160768 157 1.04241421117839
161280 157.5 1.04213078989413
161792 158 1.04087219148875
162304 158.5 1.03958879902391
162816 159 1.03870759052677
163328 159.5 1.03832131957599
163840 160 1.03792081035711
164352 160.5 1.03750701031853
164864 161 1.03707785049141
165376 161.5 1.03664128079178
165888 162 1.03619840667005
166400 162.5 1.03600370086763
166912 163 1.03660447342388
167424 163.5 1.03751052940605
167936 164 1.03912444078125
168448 164.5 1.04052168101654
168960 165 1.04187440218886
169472 165.5 1.0432444227691
169984 166 1.04459959035996
170496 166.5 1.04572413039957
171008 167 1.04685579953649
171520 167.5 1.04780848838878
172032 168 1.0485403341938
172544 168.5 1.04925750410662
173056 169 1.05061329345029
