# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
16896 16.5 2973.59865142696 2960.76149211701 22.5241551399231 19.9757959842682 18.6119539737701 0 3.91383719444275 99 395369.676693729 395369.676693729 7897824 7897824 194116.519965152 194116.519965152 3877632 3877632 725.422819397279 1022306.07019957 16124.6820704858 1006181.38812908 2842 3999673 63289 3936384 0 0 0 0 22.3561267852783 1717434957.8364 21353
17408 17 2973.9840648436 2961.11545848238 23.1268150806427 20.5784559249878 19.1796674728394 0 3.97396016120911 102 395420.921261605 395420.921261605 8137152 8137152 194141.67975299 194141.67975299 3995136 3995136 734.707765746288 1014941.77518977 16355.3549080287 998586.420281746 2940 4014962 64754 3950208 0 0 0 0 22.9535315036774 1717434958.43906 21992
17920 17.5 2940.62899940326 2960.43680248052 23.9723470211029 21.423987865448 19.990704536438 0 3.98362755775452 105 390986.031760658 390986.031760658 8376480 8376480 191964.261081045 191964.261081045 4112640 4112640 743.914103641395 1008674.43912107 16569.2927614901 992105.146359578 2966 4016387 66179 3950208 0 0 0 0 23.7925293445587 1717434959.2846 22631
18432 18 2931.77490580063 2959.58868802768 24.6510109901428 22.1026518344879 20.5982985496521 0 4.10446429252625 108 389808.791475252 389808.791475252 8615808 8615808 191386.265850665 191386.265850665 4230144 4230144 756.530359609909 1019491.28162168 16642.9276664477 1002848.35395523 3148 4442942 67646 4375296 0 0 0 0 24.4656887054443 1717434959.96326 23270
18944 18.5 2934.84460845897 2958.79139728829 25.2412130832672 22.6928539276123 21.1299159526825 0 4.112948179245 111 390216.939140705 390216.939140705 8855136 8855136 191586.656040202 191586.656040202 4347648 4347648 771.046192798319 1080964.9263584 16751.890659434 1064213.03569896 3174 4444374 69078 4375296 0 0 0 0 25.0512571334839 1717434960.55346 23909
19456 19 2934.74190658491 2958.1534712917 25.8553490638733 23.3069899082184 21.7084014415741 0 4.17507767677307 114 390203.283899529 390203.283899529 9094464 9094464 191579.951661863 191579.951661863 4465152 4465152 779.368416090117 1073277.36093573 16963.0789696347 1056314.2819661 3272 4459663 70543 4389120 0 0 0 0 25.6600472927094 1717434961.1676 24548
19968 19.5 2914.77424349745 2956.68428150471 26.6325571537018 24.0841979980469 22.4495437145233 0 4.18496751785278 117 387548.383415422 387548.383415422 9333792 9333792 190276.462615514 190276.462615514 4582656 4582656 787.470575434473 1066428.79944371 17156.531061515 1049272.2683822 3298 4461092 71972 4389120 0 0 0 0 26.4313342571259 1717434961.94481 25187
20480 20 2910.6238445846 2955.46694301228 27.2853240966797 24.7369649410248 23.0407197475433 0 4.29728269577026 120 386996.546375968 386996.546375968 9573120 9573120 190005.524574483 190005.524574483 4700160 4700160 800.545756565365 1078171.16121345 17255.3185115834 1060915.84270187 3480 4887648 73440 4814208 0 0 0 0 27.0787241458893 1717434962.59757 25826
20992 20.5 2913.41682075994 2954.35643103903 27.8794410228729 25.331081867218 23.5753526687622 0 4.30574536323547 123 387367.900488241 387367.900488241 9812448 9812448 190187.850059209 190187.850059209 4817664 4817664 813.645007230238 1135867.71408416 17347.9245445061 1118519.78953965 3506 4889081 74873 4814208 0 0 0 0 27.6681091785431 1717434963.19169 26465
21504 21 2919.14119102113 2953.51501296982 28.446387052536 25.8980278968811 24.1107661724091 0 4.35970115661621 126 388129.01275817 388129.01275817 10051776 10051776 190561.536949859 190561.536949859 4935168 4935168 822.027593864628 1129142.54621282 17561.9598911449 1111580.58632167 3604 4904372 76340 4828032 0 0 0 0 28.2302491664886 1717434963.75864 27104
