# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
202752 198 0.709748261044892
203264 198.5 0.710181480627328
203776 199 0.710607678606748
204288 199.5 0.711026769835987
204800 200 0.711438638382138
205312 200.5 0.711843009756255
205824 201 0.712239552659582
206336 201.5 0.712628251924852
206848 202 0.713009397104954
207360 202.5 0.713383020011035
207872 203 0.71374867574629
208384 203.5 0.714106027343266
208896 204 0.714455257673261
209408 204.5 0.714796566468967
209920 205 0.715129688460275
210432 205.5 0.715454332301162
210944 206 0.715770628755324
211456 206.5 0.716078605868185
211968 207 0.716377674858108
212480 207.5 0.716667276601658
212992 208 0.716947681765791
213504 208.5 0.717219513429874
214016 209 0.717482750325117
214528 209.5 0.717736828899666
215040 210 0.717981624787487
215552 210.5 0.718217657197752
216064 211 0.718445265334889
216576 211.5 0.718664101266352
217088 212 0.718873604710063
217600 212.5 0.719073661627917
218112 213 0.719264604249728
218624 213.5 0.719446719997513
219136 214 0.719619951933673
219648 214.5 0.719784086037312
220160 215 0.719939098808561
220672 215.5 0.720085176034649
221184 216 0.720222393007158
221696 216.5 0.720350499524822
222208 217 0.720469131832799
222720 217.5 0.720578229441714
223232 218 0.720677877815613
223744 218.5 0.720768068778083
224256 219 0.720849001759952
224768 219.5 0.720921346245211
225280 220 0.720985741530819
225792 220.5 0.721041977765476
226304 221 0.72108894475183
226816 221.5 0.721125662704332
227328 222 0.721152335251016
227840 222.5 0.721170088345119
