# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
74240 72.5 -4.221521096731e-19 -2.60846619906007e-19 -1.77880023778479e-20
74752 73 -3.44998856516929e-19 -1.87752029833601e-19 -1.26385991382208e-20
75264 73.5 -3.74457782951077e-19 -1.52778590336324e-19 -1.97904430320015e-20
75776 74 -3.66254261084055e-19 -1.36567549960586e-19 -3.14554174145146e-20
76288 74.5 -4.20821857599046e-19 -1.57580468888753e-19 -3.02930463056281e-20
76800 75 -3.84852998645483e-19 -1.34646624003325e-19 -2.81206039181318e-20
77312 75.5 -3.16844152181186e-19 -1.89827997558316e-19 -2.30544263274292e-20
77824 76 -2.9115001317821e-19 -3.54256743799276e-19 -2.04477457908918e-20
78336 76.5 -2.81185939201778e-19 -3.37573635920406e-19 -2.81441733315137e-20
78848 77 -2.977323597583e-19 -1.91274494590746e-19 -3.26616987081264e-20
79360 77.5 -3.31716466663147e-19 -1.63017161130372e-19 -3.9014158536182e-20
79872 78 -3.06130510846608e-19 -2.81889607207286e-19 -3.2746021910944e-20
80384 78.5 -1.87944950325807e-19 -3.13067059834723e-19 -2.61558937590491e-20
80896 79 -2.60735062864729e-19 -1.75509057342604e-19 -3.11607492347981e-20
81408 79.5 -4.17169192077241e-19 -1.43122100269314e-19 -3.9576008185734e-20
81920 80 -2.99567682836189e-19 -1.99590514784854e-19 -4.83058050064743e-20
82432 80.5 -3.64080521765698e-19 -1.92002017993973e-19 -3.83804135021919e-20
82944 81 -3.98194940367289e-05 -3.98194940362197e-05 -3.98194940365597e-05
83456 81.5 -0.000105042065326195 -0.000105042065325606 -0.000105042065325774
83968 82 -0.00016870878751419 -0.000168708787514068 -0.000168708787513848
84480 82.5 -0.000230878390843184 -0.000230878390843587 -0.000230878390843131
84992 83 -0.00029224986472751 -0.000292249864727987 -0.000292249864727679
85504 83.5 -0.000353293203152987 -0.00035329320315311 -0.000353293203153201
86016 84 -0.000413621229138864 -0.000413621229138623 -0.000413621229139001
86528 84.5 -0.000472406184939867 -0.000472406184939575 -0.000472406184939876
87040 85 -0.000529343519611308 -0.000529343519611249 -0.000529343519611172
87552 85.5 -0.00058629073548338 -0.000586290735483901 -0.000586290735483353
88064 86 -0.00065423384262603 -0.00065423384262623 -0.000654233842625902
88576 86.5 -0.000720892010090764 -0.000720892010090681 -0.000720892010090859
89088 87 -0.000786822124861064 -0.000786822124860995 -0.000786822124861455
89600 87.5 -0.000852150158327949 -0.000852150158327963 -0.000852150158328151
90112 88 -0.00091643528394532 -0.000916435283945376 -0.0009164352839451
90624 88.5 -0.000979211154818417 -0.0009792111548186 -0.000979211154818262
91136 89 -0.00104051443109386 -0.00104051443109416 -0.00104051443109422
91648 89.5 -0.00110076232975493 -0.00110076232975515 -0.00110076232975549
92160 90 -0.00116020205448342 -0.00116020205448345 -0.0011602020544835
