# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
34304 33.5 0.000135196427082245
34816 34 0.000137455036774857
35328 34.5 0.000139739965207362
35840 35 0.000141977527742176
36352 35.5 0.00014413198181024
36864 36 0.000146252108992078
37376 36.5 0.000148428366321158
37888 37 0.000150701674525667
38400 37.5 0.000153009528266762
38912 38 0.000155245424277615
39424 38.5 0.000157399936590449
39936 39 0.000159545093819882
40448 39.5 0.000161756910201801
40960 40 0.000164044628995714
41472 40.5 0.000166362014349621
41984 41 0.000168663900782999
42496 41.5 0.000170946764563728
43008 42 0.000173238364545324
43520 42.5 0.000175559600470848
44032 43 0.000177909289440585
44544 43.5 0.00018027701257216
45056 44 0.000182660588207674
45568 44.5 0.000185054212740134
46080 45 0.000187450977934736
46592 45.5 0.000189854076825822
47104 46 0.000192276071137705
47616 46.5 0.000194720941616806
48128 47 0.000197215522213491
48640 47.5 0.00019974721103442
49152 48 0.000202276944315647
49664 48.5 0.00020478589084523
50176 49 0.000207307526330568
50688 49.5 0.000209897225066691
51200 50 0.00021255243339746
51712 50.5 0.000215215217822549
52224 51 0.000217808525874701
52736 51.5 0.000220360607608359
53248 52 0.00022292994051659
53760 52.5 0.000225551396121613
54272 53 0.000228200667292991
54784 53.5 0.000230861675461454
55296 54 0.000233494848363312
55808 54.5 0.000236118178848896
56320 55 0.000238735596427987
56832 55.5 0.000241365378437402
57344 56 0.000243968395231509
57856 56.5 0.000246565375858717
58368 57 0.000249142880521309
58880 57.5 0.000251707740553281
59392 58 0.000254271257295218
59904 58.5 0.000256832606886667
60416 59 0.000259364935720429
60928 59.5 0.000261889617591287
61440 60 0.000264371856516161
61952 60.5 0.000266848502364013
62464 61 0.000269306614129515
62976 61.5 0.000271724751772476
63488 62 0.000274138846395061
64000 62.5 0.000276527420481986
64512 63 0.000278929081299646
65024 63.5 0.000281279758668928
65536 64 0.000283618460135106
66048 64.5 0.000285946971365579
66560 65 0.000288290895489555
67072 65.5 0.000290665872591357
67584 66 0.000293109257032088
68096 66.5 0.000295634940109166
68608 67 0.000298225621363376
69120 67.5 0.00030088883346457
