# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
18432 18 2954.12987218004 3015.74846537765 24.445228099823 21.9353930950165 20.4533603191376 0 4.04162955284119 108 392781.107805058 392781.107805058 8615808 8615808 192845.598055913 192845.598055913 4230144 4230144 768.061511163967 1034938.33638213 16804.4142956263 1018133.9220865 3148 4442575 67279 4375296 0 0 0 0 24.2609164714813 1717429605.67561 23270
18944 18.5 2956.74757841568 3014.0565798619 25.0345849990845 22.524749994278 20.9863119125366 0 4.04992914199829 111 393129.158026149 393129.158026149 8855136 8855136 193016.481918976 193016.481918976 4347648 4347648 783.049940611394 1097707.31988574 16926.4766815503 1080780.84320419 3174 4444023 68727 4375296 0 0 0 0 24.8456065654755 1717429606.26497 23909
19456 19 2960.238788347 3012.65253562802 25.6160790920258 23.1062440872192 21.533102273941 0 4.11057162284851 114 393593.349298618 393593.349298618 9094464 9094464 193244.388103292 193244.388103292 4465152 4465152 791.579316758428 1090012.06675665 17147.7828847539 1072864.28387189 3272 4459330 70210 4389120 0 0 0 0 25.4219396114349 1717429606.84647 24548
19968 19.5 2961.17257148137 3011.27094527236 26.2166600227356 23.7068250179291 22.0983409881592 0 4.12018704414368 117 393717.505104163 393717.505104163 9333792 9333792 193305.345466304 193305.345466304 4582656 4582656 799.840899246602 1083105.25788558 17350.0400042099 1065755.21788137 3298 4460779 71659 4389120 0 0 0 0 26.0171275138855 1717429607.44705 25187
20480 20 2956.99143033231 3009.8598542537 26.8589079380035 24.349072933197 22.6762588024139 0 4.23372936248779 120 393161.580576984 393161.580576984 9573120 9573120 193032.400572093 193032.400572093 4700160 4700160 812.403787610793 1094070.73164767 17440.1432286807 1076630.58841899 3480 4887352 73144 4814208 0 0 0 0 26.6539726257324 1717429608.08929 25826
20992 20.5 2959.16627929974 3008.53757556135 27.4492919445038 24.9394569396973 23.2088205814362 0 4.24210524559021 123 393450.748495693 393450.748495693 9812448 9812448 193174.374712687 193174.374712687 4817664 4817664 825.851585863935 1152842.12094372 17541.917780147 1135300.20316358 3506 4888799 74591 4814208 0 0 0 0 27.2397491931915 1717429608.67968 26465
21504 21 2961.58947057765 3007.42424551218 28.0366680622101 25.5268330574036 23.7620527744293 0 4.30067825317383 126 393772.936008005 393772.936008005 10051776 10051776 193332.560639309 193332.560639309 4935168 4935168 833.759241489615 1145196.39088772 17751.772941278 1127444.61794644 3604 4904112 76080 4828032 0 0 0 0 27.8219051361084 1717429609.26705 27104
22016 21.5 2962.19493685582 3006.32015703349 28.6391079425812 26.1292729377747 24.330638885498 0 4.31041097640991 129 393853.43880435 393853.43880435 10291104 10291104 193372.085477948 193372.085477948 5052672 5052672 841.598245678207 1138538.75588025 17947.6744466516 1120591.0814336 3630 4905565 77533 4828032 0 0 0 0 28.4189858436584 1717429609.86949 27743
22528 22 2959.07155940917 3005.21391381553 29.2749869823456 26.7651519775391 24.9019632339478 0 4.42298603057861 132 393438.154539044 393438.154539044 10530432 10530432 193168.191398231 193168.191398231 5170176 5170176 852.956721620042 1148153.15188708 18024.3704436497 1130128.78144343 3812 5332139 79019 5253120 0 0 0 0 29.0495672225952 1717429610.50537 28382
23040 22.5 2961.09753672015 3004.16208424771 29.8645570278168 27.3547220230103 25.4348847866058 0 4.43129134178162 135 393707.528482311 393707.528482311 10769760 10769760 193300.447197091 193300.447197091 5287680 5287680 865.526790973569 1204014.13684323 18120.5280276125 1185893.60881562 3838 5333592 80472 5253120 0 0 0 0 29.6345074176788 1717429611.09494 29021
23552 23 2963.43169405957 3003.28028004259 30.4504148960114 27.9405798912048 25.9870340824127 0 4.48996019363403 138 394017.878042161 394017.878042161 11009088 11009088 193452.820988209 193452.820988209 5405184 5405184 872.880931004142 1196417.07105304 18318.1770533444 1178098.89399969 3936 5348903 81959 5266944 0 0 0 0 30.2151772975922 1717429611.6808 29660
