# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Air-di-Federico.local by federicofantoccoli on Jun 03 2024 at 17:46:23+0200
# parameter filename: "TOV_90_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
# Run ID: run-TOV_90_pressure-MacBook-Air-di-Federico.local-federicofantoccoli-2024.06.03-15.46.21-9631
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
124416 121.5 0.00146980059579575
124928 122 0.00146615029547687
125440 122.5 0.00146258986362615
125952 123 0.00145911789473547
126464 123.5 0.00145573194503338
126976 124 0.0014524295917362
127488 124.5 0.00144920948076795
128000 125 0.00144607094881781
128512 125.5 0.00144301309635048
129024 126 0.00144003493618323
129536 126.5 0.00143713639851392
130048 127 0.00143431843253953
130560 127.5 0.00143158195114175
131072 128 0.00142892730656235
131584 128.5 0.00142639112163997
132096 129 0.0014240223091085
132608 129.5 0.00142182688605067
133120 130 0.00141980757740727
133632 130.5 0.00141796676999544
134144 131 0.00141630813096255
134656 131.5 0.00141483513804813
135168 132 0.00141354993637107
135680 132.5 0.00141245285270203
136192 133 0.00141154257824303
136704 133.5 0.00141081634937747
137216 134 0.00141026965793819
137728 134.5 0.0014098957860999
138240 135 0.00140968578706749
138752 135.5 0.00140962926404722
139264 136 0.00140971561648431
139776 136.5 0.00140993472884532
140288 137 0.00141027641256438
140800 137.5 0.00141072951788951
141312 138 0.00141128233807522
141824 138.5 0.00141192428098144
142336 139 0.00141264692044504
142848 139.5 0.00141344334825843
143360 140 0.00141430710843744
143872 140.5 0.00141523233901257
144384 141 0.00141621468600871
144896 141.5 0.00141725155393861
145408 142 0.00141834161855465
145920 142.5 0.00141948468195241
146432 143 0.0014206820021694
146944 143.5 0.00142193610850713
147456 144 0.00142324986755393
147968 144.5 0.00142462591394798
148480 145 0.00142606717990842
148992 145.5 0.00142757763966427
149504 146 0.00142916201428867
150016 146.5 0.00143082461726201
150528 147 0.00143256865522683
151040 147.5 0.00143439663172801
151552 148 0.00143631109631031
152064 148.5 0.00143831442141178
152576 149 0.00144040734282979
153088 149.5 0.00144257668742991
153600 150 0.00144472020249327
154112 150.5 0.0014468287225642
154624 151 0.00144892307933522
155136 151.5 0.00145102542724319
155648 152 0.00145315842043603
156160 152.5 0.00145534513024281
156672 153 0.00145761021758986
157184 153.5 0.0014599769535568
157696 154 0.00146246530575582
158208 154.5 0.00146509092701489
158720 155 0.00146786461540963
159232 155.5 0.00147079226867067
159744 156 0.00147387487160953
160256 156.5 0.00147710829856278
160768 157 0.00148048332799073
161280 157.5 0.00148398637382804
161792 158 0.00148760084701313
162304 158.5 0.00149130865823834
162816 159 0.00149509142045585
163328 159.5 0.00149893136326485
163840 160 0.00150281229412106
164352 160.5 0.00150672076504768
164864 161 0.00151064717051649
165376 161.5 0.00151458626583098
165888 162 0.00151853689470821
166400 162.5 0.00152250132574465
166912 163 0.00152648477698844
167424 163.5 0.00153049510840951
167936 164 0.00153454210195662
168448 164.5 0.00153863614341161
168960 165 0.00154278693712781
169472 165.5 0.00154700290179986
169984 166 0.00155129103672528
170496 166.5 0.00155565656863655
171008 167 0.00156010225509262
171520 167.5 0.00156462798866756
172032 168 0.00156923116984067
172544 168.5 0.00157390749762147
173056 169 0.0015786513310966
173568 169.5 0.0015834556333777
174080 170 0.00158831212937536
174592 170.5 0.00159321193709048
175104 171 0.00159814632110077
175616 171.5 0.00160310710761013
176128 172 0.00160808679334989
176640 172.5 0.00161307870881456
177152 173 0.00161807748620944
177664 173.5 0.00162307960277565
178176 174 0.00162808349895828
178688 174.5 0.00163308931479432
179200 175 0.00163809868480585
179712 175.5 0.0016431145391099
180224 176 0.00164814082480285
180736 176.5 0.001653181920181
181248 177 0.00165824183788605
181760 177.5 0.00166332361452792
182272 178 0.00166842910465803
182784 178.5 0.00167355896957911
183296 179 0.00167871258735713
183808 179.5 0.00168388791808955
184320 180 0.00168908151812009
184832 180.5 0.00169428876078352
185344 181 0.00169950420101783
