# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
149504 36.5 1.1057081805419e-10
150016 36.625 1.1057081805419e-10
150528 36.75 1.1057081805419e-10
151040 36.875 1.1057081805419e-10
151552 37 1.1057081805419e-10
152064 37.125 1.1057081805419e-10
152576 37.25 1.1057081805419e-10
153088 37.375 1.1057081805419e-10
153600 37.5 1.1057081805419e-10
154112 37.625 1.1057081805419e-10
154624 37.75 1.1057081805419e-10
155136 37.875 1.1057081805419e-10
155648 38 1.1057081805419e-10
156160 38.125 1.1057081805419e-10
156672 38.25 1.1057081805419e-10
157184 38.375 1.1057081805419e-10
157696 38.5 1.1057081805419e-10
158208 38.625 1.1057081805419e-10
158720 38.75 1.1057081805419e-10
159232 38.875 1.1057081805419e-10
159744 39 1.1057081805419e-10
160256 39.125 1.1057081805419e-10
160768 39.25 1.1057081805419e-10
161280 39.375 1.1057081805419e-10
161792 39.5 1.1057081805419e-10
162304 39.625 1.1057081805419e-10
162816 39.75 1.1057081805419e-10
163328 39.875 1.1057081805419e-10
163840 40 1.1057081805419e-10
164352 40.125 1.1057081805419e-10
164864 40.25 1.1057081805419e-10
165376 40.375 1.1057081805419e-10
165888 40.5 1.1057081805419e-10
166400 40.625 1.1057081805419e-10
166912 40.75 1.1057081805419e-10
167424 40.875 1.1057081805419e-10
167936 41 1.1057081805419e-10
168448 41.125 1.1057081805419e-10
168960 41.25 1.1057081805419e-10
169472 41.375 1.1057081805419e-10
169984 41.5 1.1057081805419e-10
170496 41.625 1.1057081805419e-10
171008 41.75 1.1057081805419e-10
171520 41.875 1.1057081805419e-10
172032 42 1.1057081805419e-10
172544 42.125 1.1057081805419e-10
173056 42.25 1.1057081805419e-10
173568 42.375 1.1057081805419e-10
174080 42.5 1.1057081805419e-10
174592 42.625 1.1057081805419e-10
175104 42.75 1.1057081805419e-10
175616 42.875 1.1057081805419e-10
176128 43 1.1057081805419e-10
176640 43.125 1.1057081805419e-10
177152 43.25 1.1057081805419e-10
177664 43.375 1.1057081805419e-10
178176 43.5 1.1057081805419e-10
178688 43.625 1.1057081805419e-10
179200 43.75 1.1057081805419e-10
179712 43.875 1.1057081805419e-10
180224 44 1.1057081805419e-10
180736 44.125 1.1057081805419e-10
181248 44.25 1.1057081805419e-10
181760 44.375 1.1057081805419e-10
182272 44.5 1.1057081805419e-10
182784 44.625 1.1057081805419e-10
183296 44.75 1.1057081805419e-10
183808 44.875 1.1057081805419e-10
184320 45 1.1057081805419e-10
184832 45.125 1.1057081805419e-10
185344 45.25 1.1057081805419e-10
185856 45.375 1.1057081805419e-10
186368 45.5 1.1057081805419e-10
186880 45.625 1.1057081805419e-10
187392 45.75 1.1057081805419e-10
187904 45.875 1.1057081805419e-10
188416 46 1.1057081805419e-10
188928 46.125 1.1057081805419e-10
189440 46.25 1.1057081805419e-10
189952 46.375 1.1057081805419e-10
190464 46.5 1.1057081805419e-10
190976 46.625 1.1057081805419e-10
191488 46.75 1.1057081805419e-10
192000 46.875 1.1057081805419e-10
192512 47 1.1057081805419e-10
193024 47.125 1.1057081805419e-10
193536 47.25 1.1057081805419e-10
194048 47.375 1.1057081805419e-10
194560 47.5 1.1057081805419e-10
195072 47.625 1.1057081805419e-10
195584 47.75 1.1057081805419e-10
196096 47.875 1.1057081805419e-10
196608 48 1.1057081805419e-10
197120 48.125 1.1057081805419e-10
197632 48.25 1.1057081805419e-10
198144 48.375 1.1057081805419e-10
198656 48.5 1.1057081805419e-10
199168 48.625 1.1057081805419e-10
199680 48.75 1.1057081805419e-10
200192 48.875 1.1057081805419e-10
200704 49 1.1057081805419e-10
201216 49.125 1.1057081805419e-10
201728 49.25 1.1057081805419e-10
202240 49.375 1.1057081805419e-10
202752 49.5 1.1057081805419e-10
203264 49.625 1.1057081805419e-10
203776 49.75 1.1057081805419e-10
204288 49.875 1.1057081805419e-10
204800 50 1.1057081805419e-10
205312 50.125 1.1057081805419e-10
205824 50.25 1.1057081805419e-10
206336 50.375 1.1057081805419e-10
206848 50.5 1.1057081805419e-10
207360 50.625 1.1057081805419e-10
207872 50.75 1.1057081805419e-10
208384 50.875 1.1057081805419e-10
208896 51 1.1057107221301e-10
209408 51.125 1.10571325924422e-10
209920 51.25 1.10571578311219e-10
210432 51.375 1.10571829366224e-10
210944 51.5 1.10572079087674e-10
211456 51.625 1.10572327447519e-10
211968 51.75 1.10572574369125e-10
212480 51.875 1.10572819736557e-10
212992 52 1.10573063431466e-10
213504 52.125 1.10573305370958e-10
214016 52.25 1.10573545520384e-10
214528 52.375 1.10573783877371e-10
215040 52.5 1.10574020447126e-10
215552 52.625 1.1057425523338e-10
216064 52.75 1.10574488251841e-10
216576 52.875 1.10574719550634e-10
217088 53 1.1057494921527e-10
217600 53.125 1.10575177349485e-10
218112 53.25 1.10575404044324e-10
218624 53.375 1.10575629357332e-10
219136 53.5 1.10575853314314e-10
219648 53.625 1.10576075927845e-10
220160 53.75 1.10576297215876e-10
220672 53.875 1.10576517208426e-10
221184 54 1.10576735943645e-10
221696 54.125 1.10576953463292e-10
222208 54.25 1.10577169814833e-10
222720 54.375 1.105773850576e-10
223232 54.5 1.10577599264398e-10
223744 54.625 1.10577812513264e-10
224256 54.75 1.10578024873068e-10
224768 54.875 1.1057823639268e-10
225280 55 1.10578447101418e-10
225792 55.125 1.10578657020798e-10
226304 55.25 1.10578866180567e-10
226816 55.375 1.10579074630261e-10
227328 55.5 1.10579282440654e-10
227840 55.625 1.10579489694591e-10
228352 55.75 1.10579696471156e-10
228864 55.875 1.10579902829891e-10
229376 56 1.10580108802184e-10
229888 56.125 1.10580314394121e-10
230400 56.25 1.10580519599375e-10
230912 56.375 1.10580724414985e-10
231424 56.5 1.10580928851403e-10
231936 56.625 1.10581132932525e-10
232448 56.75 1.10581336688664e-10
232960 56.875 1.1058154014977e-10
233472 57 1.1058174334424e-10
233984 57.125 1.10581946302542e-10
234496 57.25 1.10582149060116e-10
235008 57.375 1.10582351654484e-10
235520 57.5 1.10582554115941e-10
236032 57.625 1.10582756455101e-10
236544 57.75 1.10582958650952e-10
237056 57.875 1.10583160640928e-10
237568 58 1.10583362313077e-10
238080 58.125 1.10583563500796e-10
238592 58.25 1.10583763981043e-10
239104 58.375 1.10583963475046e-10
239616 58.5 1.10584161647375e-10
240128 58.625 1.10584358098513e-10
240640 58.75 1.10584552350733e-10
241152 58.875 1.1058474383478e-10
241664 59 1.10584931889697e-10
242176 59.125 1.10585115785314e-10
242688 59.25 1.10585294767815e-10
243200 59.375 1.10585468119626e-10
243712 59.5 1.10585635221552e-10
244224 59.625 1.10585795607926e-10
244736 59.75 1.10585949009997e-10
245248 59.875 1.10586095383984e-10
245760 60 1.10586234918353e-10
246272 60.125 1.10586368013998e-10
246784 60.25 1.10586495235336e-10
247296 60.375 1.10586617239109e-10
247808 60.5 1.10586734695788e-10
248320 60.625 1.1058684822055e-10
248832 60.75 1.10586958325567e-10
249344 60.875 1.1058706539676e-10
249856 61 1.10587169691408e-10
250368 61.125 1.10587271351038e-10
250880 61.25 1.10587370425599e-10
251392 61.375 1.10587466906732e-10
251904 61.5 1.1058756076751e-10
252416 61.625 1.10587652003447e-10
252928 61.75 1.10587740666985e-10
253440 61.875 1.10587826887166e-10
253952 62 1.10587910868678e-10
254464 62.125 1.10587992869202e-10
254976 62.25 1.10588073159522e-10
255488 62.375 1.10588151975721e-10
256000 62.5 1.10588229475695e-10
256512 62.625 1.10588305712333e-10
257024 62.75 1.10588380632376e-10
257536 62.875 1.10588454103544e-10
258048 63 1.10588525964216e-10
258560 63.125 1.1058859608228e-10
259072 63.25 1.10588664405665e-10
259584 63.375 1.10588730988408e-10
260096 63.5 1.10588795983122e-10
260608 63.625 1.10588859601211e-10
261120 63.75 1.10588922052471e-10
261632 63.875 1.10588983482266e-10
262144 64 1.10589043925127e-10
262656 64.125 1.10589103288465e-10
263168 64.25 1.10589161371263e-10
263680 64.375 1.10589217913174e-10
264192 64.5 1.10589272662466e-10
264704 64.625 1.10589325448508e-10
265216 64.75 1.10589376245784e-10
265728 64.875 1.10589425220219e-10
266240 65 1.10589472752185e-10
266752 65.125 1.10589519432518e-10
267264 65.25 1.10589566028318e-10
267776 65.375 1.10589613416677e-10
268288 65.5 1.10589662489039e-10
268800 65.625 1.10589714037364e-10
269312 65.75 1.10589768642839e-10
269824 65.875 1.10589826593711e-10
270336 66 1.10589887856212e-10
270848 66.125 1.10589952110494e-10
271360 66.25 1.1059001884545e-10
271872 66.375 1.10590087488956e-10
272384 66.5 1.10590157540326e-10
272896 66.625 1.10590228672889e-10
273408 66.75 1.10590300785567e-10
273920 66.875 1.10590373998231e-10
274432 67 1.10590448600594e-10
274944 67.125 1.10590524974174e-10
275456 67.25 1.10590603509735e-10
275968 67.375 1.10590684539645e-10
276480 67.5 1.10590768297651e-10
276992 67.625 1.10590854909852e-10
277504 67.75 1.10590944411658e-10
278016 67.875 1.1059103677812e-10
278528 68 1.10591131951149e-10
279040 68.125 1.10591229849144e-10
279552 68.25 1.10591330353038e-10
280064 68.375 1.10591433275556e-10
280576 68.5 1.10591538332356e-10
281088 68.625 1.1059164513798e-10
281600 68.75 1.10591753242194e-10
282112 68.875 1.10591862204597e-10
282624 69 1.10591971684889e-10
283136 69.125 1.1059208151327e-10
283648 69.25 1.10592191708201e-10
284160 69.375 1.10592302427824e-10
284672 69.5 1.10592413869324e-10
285184 69.625 1.10592526154441e-10
285696 69.75 1.10592639247706e-10
286208 69.875 1.10592752941892e-10
286720 70 1.10592866917251e-10
287232 70.125 1.10592980849473e-10
287744 70.25 1.10593094519992e-10
288256 70.375 1.10593207881082e-10
288768 70.5 1.1059332104824e-10
289280 70.625 1.1059343422487e-10
289792 70.75 1.1059354759475e-10
290304 70.875 1.10593661231595e-10
290816 71 1.1059377506558e-10
291328 71.125 1.10593888918145e-10
291840 71.25 1.10594002583234e-10
292352 71.375 1.1059411591211e-10
292864 71.5 1.10594228860728e-10
293376 71.625 1.1059434148137e-10
293888 71.75 1.10594453870528e-10
294400 71.875 1.10594566105886e-10
294912 72 1.10594678206187e-10
295424 72.125 1.10594790130599e-10
295936 72.25 1.10594901810815e-10
296448 72.375 1.10595013193618e-10
296960 72.5 1.10595124271027e-10
297472 72.625 1.1059523508645e-10
297984 72.75 1.10595345719103e-10
298496 72.875 1.10595456257164e-10
299008 73 1.10595566770502e-10
299520 73.125 1.105956772902e-10
300032 73.25 1.10595787799033e-10
300544 73.375 1.10595898235802e-10
301056 73.5 1.10596008514532e-10
301568 73.625 1.10596118554593e-10
302080 73.75 1.10596228311218e-10
302592 73.875 1.1059633779266e-10
303104 74 1.10596447054736e-10
303616 74.125 1.10596556175043e-10
304128 74.25 1.10596665220798e-10
304640 74.375 1.1059677422807e-10
305152 74.5 1.10596883202734e-10
305664 74.625 1.10596992139468e-10
306176 74.75 1.1059710104373e-10
306688 74.875 1.10597209940605e-10
307200 75 1.10597318863923e-10
307712 75.125 1.10597427832663e-10
308224 75.25 1.10597536830444e-10
308736 75.375 1.10597645802911e-10
309248 75.5 1.10597754678127e-10
309760 75.625 1.10597863402513e-10
310272 75.75 1.10597971975853e-10
310784 75.875 1.10598080467455e-10
311296 76 1.105981890025e-10
311808 76.125 1.10598297720402e-10
312320 76.25 1.10598406720859e-10
312832 76.375 1.10598516021741e-10
313344 76.5 1.10598625550674e-10
313856 76.625 1.10598735178001e-10
314368 76.75 1.10598844778269e-10
314880 76.875 1.10598954291354e-10
315392 77 1.10599063752742e-10
315904 77.125 1.10599173277817e-10
316416 77.25 1.10599283009324e-10
316928 77.375 1.10599393056335e-10
317440 77.5 1.10599503455781e-10
317952 77.625 1.10599614172834e-10
318464 77.75 1.10599725134157e-10
318976 77.875 1.10599836272016e-10
319488 78 1.10599947555991e-10
320000 78.125 1.10600059000701e-10
320512 78.25 1.10600170652952e-10
321024 78.375 1.10600282570562e-10
321536 78.5 1.10600394804264e-10
322048 78.625 1.10600507387466e-10
322560 78.75 1.10600620332511e-10
323072 78.875 1.10600733630086e-10
323584 79 1.10600847249882e-10
324096 79.125 1.10600961142418e-10
324608 79.25 1.10601075242452e-10
325120 79.375 1.10601189474262e-10
325632 79.5 1.10601303759559e-10
326144 79.625 1.10601418029536e-10
326656 79.75 1.10601532241463e-10
327168 79.875 1.10601646396251e-10
327680 80 1.10601760548557e-10
328192 80.125 1.10601874799882e-10
328704 80.25 1.10601989270908e-10
329216 80.375 1.10602104060409e-10
329728 80.5 1.10602219207801e-10
330240 80.625 1.10602334677765e-10
330752 80.75 1.10602450375906e-10
331264 80.875 1.10602566188862e-10
331776 81 1.10602682029448e-10
332288 81.125 1.10602797864668e-10
332800 81.25 1.10602913713378e-10
333312 81.375 1.10603029615844e-10
333824 81.5 1.10603145591269e-10
334336 81.625 1.1060326160445e-10
334848 81.75 1.10603377556975e-10
335360 81.875 1.10603493305217e-10
335872 82 1.10603608693974e-10
336384 82.125 1.10603723588334e-10
336896 82.25 1.10603837890286e-10
337408 82.375 1.10603951537953e-10
337920 82.5 1.10604064496383e-10
338432 82.625 1.10604176752254e-10
338944 82.75 1.10604288318455e-10
339456 82.875 1.10604399243408e-10
339968 83 1.10604509612803e-10
340480 83.125 1.10604619533761e-10
340992 83.25 1.10604729102026e-10
341504 83.375 1.10604838363917e-10
342016 83.5 1.10604947288942e-10
342528 83.625 1.10605055763849e-10
343040 83.75 1.10605163608956e-10
343552 83.875 1.10605270609645e-10
344064 84 1.10605376553867e-10
344576 84.125 1.10605481269015e-10
345088 84.25 1.10605584654147e-10
345600 84.375 1.10605686703267e-10
346112 84.5 1.10605787513062e-10
346624 84.625 1.10605887268056e-10
347136 84.75 1.10605986200684e-10
347648 84.875 1.10606084533179e-10
348160 85 1.10606182417824e-10
348672 85.125 1.10606279896427e-10
349184 85.25 1.10606376894668e-10
349696 85.375 1.1060647325334e-10
350208 85.5 1.10606568782076e-10
350720 85.625 1.1060666331058e-10
351232 85.75 1.10606756713774e-10
351744 85.875 1.10606848901028e-10
352256 86 1.10606939778836e-10
352768 86.125 1.10607029210523e-10
353280 86.25 1.10607116998017e-10
353792 86.375 1.1060720289903e-10
354304 86.5 1.10607286675317e-10
354816 86.625 1.10607368153962e-10
355328 86.75 1.10607447280146e-10
355840 86.875 1.10607524146119e-10
356352 87 1.10607598991607e-10
356864 87.125 1.10607672179613e-10
357376 87.25 1.10607744155781e-10
357888 87.375 1.10607815399615e-10
358400 87.5 1.106078863741e-10
358912 87.625 1.10607957477735e-10
359424 87.75 1.10608029000802e-10
359936 87.875 1.10608101086739e-10
360448 88 1.10608173701361e-10
360960 88.125 1.10608246617267e-10
361472 88.25 1.10608319425232e-10
361984 88.375 1.10608391584034e-10
362496 88.5 1.10608462511389e-10
363008 88.625 1.10608531703294e-10
363520 88.75 1.10608598853589e-10
364032 88.875 1.10608663938442e-10
364544 89 1.10608727236574e-10
365056 89.125 1.10608789273925e-10
365568 89.25 1.10608850704219e-10
366080 89.375 1.1060891215628e-10
366592 89.5 1.10608974088587e-10
367104 89.625 1.10609036689014e-10
367616 89.75 1.10609099844275e-10
368128 89.875 1.10609163183456e-10
368640 90 1.10609226179612e-10
369152 90.125 1.10609288279305e-10
369664 90.25 1.10609349026459e-10
370176 90.375 1.10609408153547e-10
370688 90.5 1.10609465625317e-10
371200 90.625 1.10609521632014e-10
371712 90.75 1.10609576537335e-10
372224 90.875 1.10609630792075e-10
372736 91 1.10609684829977e-10
373248 91.125 1.10609738967843e-10
373760 91.25 1.10609793334066e-10
374272 91.375 1.1060984784432e-10
