# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:44:29+0200
# parameter filename: "TOV_110_HLLE_res05.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
# Run ID: run-TOV_110_HLLE_res05-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.44.25-9703
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
263680 64.375 1.1e-08
264192 64.5 1.1e-08
264704 64.625 1.1e-08
265216 64.75 1.1e-08
265728 64.875 1.1e-08
266240 65 1.1e-08
266752 65.125 1.1e-08
267264 65.25 1.1e-08
267776 65.375 1.1e-08
268288 65.5 1.1e-08
268800 65.625 1.1e-08
269312 65.75 1.1e-08
269824 65.875 1.1e-08
270336 66 1.1e-08
270848 66.125 1.1e-08
271360 66.25 1.1e-08
271872 66.375 1.1e-08
272384 66.5 1.1e-08
272896 66.625 1.1e-08
273408 66.75 1.1e-08
273920 66.875 1.1e-08
274432 67 1.1e-08
274944 67.125 1.1e-08
275456 67.25 1.1e-08
275968 67.375 1.1e-08
276480 67.5 1.1e-08
276992 67.625 1.1e-08
277504 67.75 1.1e-08
278016 67.875 1.1e-08
278528 68 1.1e-08
279040 68.125 1.1e-08
279552 68.25 1.1e-08
280064 68.375 1.1e-08
280576 68.5 1.1e-08
281088 68.625 1.1e-08
281600 68.75 1.1e-08
282112 68.875 1.1e-08
282624 69 1.1e-08
283136 69.125 1.1e-08
283648 69.25 1.1e-08
284160 69.375 1.1e-08
284672 69.5 1.1e-08
285184 69.625 1.1e-08
285696 69.75 1.1e-08
286208 69.875 1.1e-08
286720 70 1.1e-08
287232 70.125 1.1e-08
287744 70.25 1.1e-08
288256 70.375 1.1e-08
288768 70.5 1.1e-08
289280 70.625 1.1e-08
289792 70.75 1.1e-08
290304 70.875 1.1e-08
290816 71 1.1e-08
291328 71.125 1.1e-08
291840 71.25 1.1e-08
292352 71.375 1.1e-08
292864 71.5 1.1e-08
293376 71.625 1.1e-08
293888 71.75 1.1e-08
294400 71.875 1.1e-08
294912 72 1.1e-08
295424 72.125 1.1e-08
295936 72.25 1.1e-08
296448 72.375 1.1e-08
296960 72.5 1.1e-08
297472 72.625 1.1e-08
297984 72.75 1.1e-08
298496 72.875 1.1e-08
299008 73 1.1e-08
299520 73.125 1.1e-08
300032 73.25 1.1e-08
300544 73.375 1.1e-08
301056 73.5 1.1e-08
301568 73.625 1.1e-08
302080 73.75 1.1e-08
302592 73.875 1.1e-08
303104 74 1.1e-08
303616 74.125 1.1e-08
304128 74.25 1.1e-08
304640 74.375 1.1e-08
305152 74.5 1.1e-08
305664 74.625 1.1e-08
306176 74.75 1.1e-08
306688 74.875 1.1e-08
307200 75 1.1e-08
307712 75.125 1.1e-08
308224 75.25 1.1e-08
308736 75.375 1.1e-08
309248 75.5 1.1e-08
309760 75.625 1.1e-08
310272 75.75 1.1e-08
310784 75.875 1.1e-08
311296 76 1.1e-08
311808 76.125 1.1e-08
312320 76.25 1.1e-08
312832 76.375 1.1e-08
313344 76.5 1.1e-08
313856 76.625 1.1e-08
314368 76.75 1.1e-08
314880 76.875 1.1e-08
315392 77 1.1e-08
315904 77.125 1.1e-08
316416 77.25 1.1e-08
316928 77.375 1.1e-08
317440 77.5 1.1e-08
317952 77.625 1.1e-08
318464 77.75 1.1e-08
318976 77.875 1.1e-08
319488 78 1.1e-08
320000 78.125 1.1e-08
320512 78.25 1.1e-08
321024 78.375 1.1e-08
321536 78.5 1.1e-08
322048 78.625 1.1e-08
322560 78.75 1.1e-08
323072 78.875 1.1e-08
323584 79 1.1e-08
324096 79.125 1.1e-08
324608 79.25 1.1e-08
325120 79.375 1.1e-08
325632 79.5 1.1e-08
326144 79.625 1.1e-08
326656 79.75 1.1e-08
327168 79.875 1.1e-08
327680 80 1.1e-08
328192 80.125 1.1e-08
328704 80.25 1.1e-08
329216 80.375 1.1e-08
329728 80.5 1.1e-08
330240 80.625 1.1e-08
330752 80.75 1.1e-08
331264 80.875 1.1e-08
331776 81 1.1e-08
332288 81.125 1.1e-08
332800 81.25 1.1e-08
333312 81.375 1.1e-08
333824 81.5 1.1e-08
334336 81.625 1.1e-08
334848 81.75 1.1e-08
335360 81.875 1.1e-08
335872 82 1.1e-08
336384 82.125 1.1e-08
336896 82.25 1.1e-08
337408 82.375 1.1e-08
337920 82.5 1.1e-08
338432 82.625 1.1e-08
338944 82.75 1.1e-08
339456 82.875 1.1e-08
339968 83 1.1e-08
340480 83.125 1.1e-08
340992 83.25 1.1e-08
341504 83.375 1.1e-08
342016 83.5 1.1e-08
342528 83.625 1.1e-08
343040 83.75 1.1e-08
343552 83.875 1.1e-08
344064 84 1.1e-08
344576 84.125 1.1e-08
345088 84.25 1.1e-08
345600 84.375 1.1e-08
346112 84.5 1.1e-08
346624 84.625 1.1e-08
347136 84.75 1.1e-08
347648 84.875 1.1e-08
348160 85 1.1e-08
348672 85.125 1.1e-08
349184 85.25 1.1e-08
349696 85.375 1.1e-08
350208 85.5 1.1e-08
350720 85.625 1.1e-08
351232 85.75 1.1e-08
351744 85.875 1.1e-08
352256 86 1.1e-08
352768 86.125 1.1e-08
353280 86.25 1.1e-08
353792 86.375 1.1e-08
354304 86.5 1.1e-08
354816 86.625 1.1e-08
355328 86.75 1.1e-08
355840 86.875 1.1e-08
356352 87 1.1e-08
356864 87.125 1.1e-08
357376 87.25 1.1e-08
357888 87.375 1.1e-08
358400 87.5 1.1e-08
358912 87.625 1.1e-08
359424 87.75 1.1e-08
359936 87.875 1.1e-08
360448 88 1.1e-08
360960 88.125 1.1e-08
361472 88.25 1.1e-08
361984 88.375 1.1e-08
362496 88.5 1.1e-08
363008 88.625 1.1e-08
363520 88.75 1.1e-08
364032 88.875 1.1e-08
364544 89 1.1e-08
365056 89.125 1.1e-08
365568 89.25 1.1e-08
366080 89.375 1.1e-08
366592 89.5 1.1e-08
367104 89.625 1.1e-08
367616 89.75 1.1e-08
368128 89.875 1.1e-08
368640 90 1.1e-08
369152 90.125 1.1e-08
369664 90.25 1.1e-08
370176 90.375 1.1e-08
370688 90.5 1.1e-08
371200 90.625 1.1e-08
371712 90.75 1.1e-08
372224 90.875 1.1e-08
372736 91 1.1e-08
373248 91.125 1.1e-08
373760 91.25 1.1e-08
374272 91.375 1.1e-08
374784 91.5 1.1e-08
375296 91.625 1.1e-08
375808 91.75 1.1e-08
376320 91.875 1.1e-08
376832 92 1.1e-08
377344 92.125 1.1e-08
377856 92.25 1.1e-08
378368 92.375 1.1e-08
378880 92.5 1.1e-08
379392 92.625 1.1e-08
379904 92.75 1.1e-08
380416 92.875 1.1e-08
380928 93 1.1e-08
381440 93.125 1.1e-08
381952 93.25 1.1e-08
382464 93.375 1.1e-08
382976 93.5 1.1e-08
383488 93.625 1.1e-08
384000 93.75 1.1e-08
384512 93.875 1.1e-08
385024 94 1.1e-08
385536 94.125 1.1e-08
386048 94.25 1.1e-08
386560 94.375 1.1e-08
387072 94.5 1.1e-08
387584 94.625 1.1e-08
388096 94.75 1.1e-08
388608 94.875 1.1e-08
389120 95 1.1e-08
389632 95.125 1.1e-08
390144 95.25 1.1e-08
390656 95.375 1.1e-08
391168 95.5 1.1e-08
391680 95.625 1.1e-08
392192 95.75 1.1e-08
392704 95.875 1.1e-08
393216 96 1.1e-08
393728 96.125 1.1e-08
394240 96.25 1.1e-08
394752 96.375 1.1e-08
395264 96.5 1.1e-08
395776 96.625 1.1e-08
396288 96.75 1.1e-08
396800 96.875 1.1e-08
397312 97 1.1e-08
397824 97.125 1.1e-08
398336 97.25 1.1e-08
398848 97.375 1.1e-08
399360 97.5 1.1e-08
399872 97.625 1.1e-08
400384 97.75 1.1e-08
400896 97.875 1.1e-08
401408 98 1.1e-08
401920 98.125 1.1e-08
402432 98.25 1.1e-08
402944 98.375 1.1e-08
403456 98.5 1.1e-08
403968 98.625 1.1e-08
404480 98.75 1.1e-08
404992 98.875 1.1e-08
405504 99 1.1e-08
406016 99.125 1.1e-08
406528 99.25 1.1e-08
407040 99.375 1.1e-08
407552 99.5 1.1e-08
408064 99.625 1.1e-08
408576 99.75 1.1e-08
409088 99.875 1.1e-08
409600 100 1.1e-08
410112 100.125 1.1e-08
410624 100.25 1.1e-08
411136 100.375 1.1e-08
411648 100.5 1.1e-08
412160 100.625 1.1e-08
412672 100.75 1.1e-08
413184 100.875 1.1e-08
413696 101 1.1e-08
414208 101.125 1.1e-08
414720 101.25 1.1e-08
415232 101.375 1.1e-08
415744 101.5 1.1e-08
416256 101.625 1.1e-08
416768 101.75 1.1e-08
417280 101.875 1.1e-08
417792 102 1.1e-08
418304 102.125 1.1e-08
418816 102.25 1.1e-08
419328 102.375 1.1e-08
419840 102.5 1.1e-08
420352 102.625 1.1e-08
420864 102.75 1.1e-08
421376 102.875 1.1e-08
421888 103 1.1e-08
422400 103.125 1.1e-08
422912 103.25 1.1e-08
423424 103.375 1.1e-08
423936 103.5 1.1e-08
424448 103.625 1.1e-08
424960 103.75 1.1e-08
425472 103.875 1.1e-08
425984 104 1.1e-08
426496 104.125 1.1e-08
427008 104.25 1.1e-08
427520 104.375 1.1e-08
428032 104.5 1.1e-08
428544 104.625 1.1e-08
429056 104.75 1.1e-08
429568 104.875 1.1e-08
430080 105 1.1e-08
430592 105.125 1.1e-08
431104 105.25 1.1e-08
431616 105.375 1.1e-08
432128 105.5 1.1e-08
432640 105.625 1.1e-08
433152 105.75 1.1e-08
433664 105.875 1.1e-08
434176 106 1.1e-08
434688 106.125 1.1e-08
435200 106.25 1.1e-08
435712 106.375 1.1e-08
436224 106.5 1.1e-08
436736 106.625 1.1e-08
437248 106.75 1.1e-08
437760 106.875 1.1e-08
438272 107 1.1e-08
438784 107.125 1.1e-08
439296 107.25 1.1e-08
439808 107.375 1.1e-08
440320 107.5 1.1e-08
440832 107.625 1.1e-08
441344 107.75 1.1e-08
441856 107.875 1.1e-08
442368 108 1.1e-08
442880 108.125 1.1e-08
443392 108.25 1.1e-08
443904 108.375 1.1e-08
444416 108.5 1.1e-08
444928 108.625 1.1e-08
445440 108.75 1.1e-08
445952 108.875 1.1e-08
446464 109 1.1e-08
446976 109.125 1.1e-08
447488 109.25 1.1e-08
448000 109.375 1.1e-08
448512 109.5 1.1e-08
449024 109.625 1.1e-08
449536 109.75 1.1e-08
450048 109.875 1.1e-08
450560 110 1.1e-08
451072 110.125 1.1e-08
451584 110.25 1.1e-08
452096 110.375 1.1e-08
452608 110.5 1.1e-08
453120 110.625 1.1e-08
453632 110.75 1.1e-08
454144 110.875 1.1e-08
454656 111 1.1e-08
455168 111.125 1.1e-08
455680 111.25 1.1e-08
456192 111.375 1.1e-08
456704 111.5 1.1e-08
457216 111.625 1.1e-08
457728 111.75 1.1e-08
458240 111.875 1.1e-08
458752 112 1.1e-08
459264 112.125 1.1e-08
459776 112.25 1.1e-08
460288 112.375 1.1e-08
460800 112.5 1.1e-08
461312 112.625 1.1e-08
461824 112.75 1.1e-08
462336 112.875 1.1e-08
462848 113 1.1e-08
463360 113.125 1.1e-08
463872 113.25 1.1e-08
464384 113.375 1.1e-08
464896 113.5 1.1e-08
465408 113.625 1.1e-08
465920 113.75 1.1e-08
466432 113.875 1.1e-08
466944 114 1.1e-08
467456 114.125 1.1e-08
467968 114.25 1.1e-08
468480 114.375 1.1e-08
468992 114.5 1.1e-08
469504 114.625 1.1e-08
470016 114.75 1.1e-08
470528 114.875 1.1e-08
471040 115 1.1e-08
471552 115.125 1.1e-08
472064 115.25 1.1e-08
472576 115.375 1.1e-08
473088 115.5 1.1e-08
473600 115.625 1.1e-08
474112 115.75 1.1e-08
474624 115.875 1.1e-08
475136 116 1.1e-08
475648 116.125 1.1e-08
476160 116.25 1.1e-08
476672 116.375 1.1e-08
477184 116.5 1.1e-08
477696 116.625 1.1e-08
478208 116.75 1.1e-08
478720 116.875 1.1e-08
479232 117 1.1e-08
479744 117.125 1.1e-08
480256 117.25 1.1e-08
480768 117.375 1.1e-08
481280 117.5 1.1e-08
481792 117.625 1.1e-08
482304 117.75 1.1e-08
482816 117.875 1.1e-08
483328 118 1.1e-08
