# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
41984 41 9.92316652319358e-05
42496 41.5 9.82390348572534e-05
43008 42 9.72681887993818e-05
43520 42.5 9.63213546294998e-05
44032 43 9.54003874058741e-05
44544 43.5 9.45050080269202e-05
45056 44 9.36336982348525e-05
45568 44.5 9.27859875208138e-05
46080 45 9.19630779896313e-05
46592 45.5 9.11661427392486e-05
47104 46 9.03947957108015e-05
47616 46.5 8.96477724535742e-05
48128 47 8.89246336610599e-05
48640 47.5 8.82260360244181e-05
49152 48 8.75523959492646e-05
49664 48.5 8.69030269150146e-05
50176 49 8.62769124826721e-05
50688 49.5 8.56738438054703e-05
51200 50 8.50942694358105e-05
51712 50.5 8.45381401449223e-05
52224 51 8.40043574272919e-05
52736 51.5 8.34916658051926e-05
53248 52 8.29998659383165e-05
53760 52.5 8.25293920510653e-05
54272 53 8.20802627859875e-05
54784 53.5 8.16513821195284e-05
55296 54 8.12410322917453e-05
55808 54.5 8.0847968653105e-05
56320 55 8.04718204732558e-05
56832 55.5 8.01120846834497e-05
57344 56 7.97662542604068e-05
57856 56.5 7.94308177351953e-05
58368 57 7.91054672974164e-05
58880 57.5 7.87904568114141e-05
59392 58 7.84855803576593e-05
59904 58.5 7.81900873623557e-05
60416 59 7.79035325665604e-05
60928 59.5 7.76260659170256e-05
61440 60 7.73576303730939e-05
61952 60.5 7.7097465752164e-05
62464 61 7.68449381154191e-05
62976 61.5 7.66003322356273e-05
63488 62 7.63644057955064e-05
64000 62.5 7.61370704239456e-05
64512 63 7.59175135536489e-05
65024 63.5 7.57054589897942e-05
65536 64 7.55016129611903e-05
66048 64.5 7.53065833377416e-05
66560 65 7.51199687342265e-05
67072 65.5 7.49410804462207e-05
67584 66 7.47712067073251e-05
68096 66.5 7.46179072970042e-05
68608 67 7.44827043180855e-05
69120 67.5 7.43651368074898e-05
69632 68 7.42649970170075e-05
70144 68.5 7.41826510369552e-05
70656 69 7.41184659069695e-05
71168 69.5 7.4072438704661e-05
71680 70 7.4044354140192e-05
72192 70.5 7.40339979824629e-05
72704 71 7.40408416907672e-05
73216 71.5 7.40637310544185e-05
73728 72 7.41013173287279e-05
74240 72.5 7.41527814910115e-05
74752 73 7.42177999651752e-05
75264 73.5 7.42957462719994e-05
75776 74 7.43852397072416e-05
76288 74.5 7.44846653043323e-05
76800 75 7.45929628788404e-05
77312 75.5 7.4709727497145e-05
77824 76 7.4834676297054e-05
78336 76.5 7.49672436370741e-05
78848 77 7.51066442789072e-05
79360 77.5 7.5252136735031e-05
79872 78 7.54032659172964e-05
80384 78.5 7.55600271839688e-05
80896 79 7.57227646883647e-05
81408 79.5 7.58916785815717e-05
81920 80 7.60602927559867e-05
82432 80.5 7.62159998578783e-05
82944 81 7.63612307458479e-05
83456 81.5 7.64998391832673e-05
83968 82 7.66358507112277e-05
84480 82.5 7.67729269857144e-05
84992 83 7.69146026198852e-05
85504 83.5 7.70646955726479e-05
86016 84 7.72269578135741e-05
86528 84.5 7.74042342237387e-05
87040 85 7.75981899498252e-05
87552 85.5 7.78098313018846e-05
88064 86 7.80399585459475e-05
88576 86.5 7.82888633143973e-05
89088 87 7.85557830307144e-05
89600 87.5 7.88390840679759e-05
90112 88 7.91368555261497e-05
90624 88.5 7.94473231974167e-05
91136 89 7.97688151558223e-05
91648 89.5 8.00995698713457e-05
92160 90 8.04377992687802e-05
92672 90.5 8.07820813449497e-05
93184 91 8.11321691870574e-05
93696 91.5 8.14914694972175e-05
94208 92 8.18611268750656e-05
94720 92.5 8.22412702025467e-05
95232 93 8.26318523684226e-05
95744 93.5 8.30330090963986e-05
96256 94 8.34452404910552e-05
96768 94.5 8.38680594879899e-05
97280 95 8.43011709460962e-05
97792 95.5 8.47453298040811e-05
98304 96 8.52013045154413e-05
98816 96.5 8.56700546997644e-05
99328 97 8.6152736405522e-05
99840 97.5 8.66505507347094e-05
100352 98 8.71645523387862e-05
100864 98.5 8.76955471095061e-05
101376 99 8.8244185629542e-05
101888 99.5 8.88112325327372e-05
102400 100 8.93976546063546e-05
102912 100.5 9.00042964751789e-05
103424 101 9.06314874316141e-05
103936 101.5 9.12789884385863e-05
104448 102 9.19463957641853e-05
104960 102.5 9.26335115580943e-05
105472 103 9.33401934590991e-05
105984 103.5 9.40658919699617e-05
106496 104 9.48095005504728e-05
107008 104.5 9.55697386500898e-05
107520 105 9.63456236504848e-05
108032 105.5 9.71365320981404e-05
108544 106 9.79418972738852e-05
109056 106.5 9.87609707960621e-05
109568 107 9.9592892395972e-05
110080 107.5 0.000100436934742441
110592 108 0.00010129269413191
111104 108.5 0.000102160076573018
111616 109 0.00010303910033559
112128 109.5 0.000103929689251465
112640 110 0.000104831668865401
113152 110.5 0.000105744991147499
113664 111 0.000106669869780705
114176 111.5 0.000107606598492213
114688 112 0.000108555255510317
115200 112.5 0.000109515644187201
115712 113 0.000110487483060347
116224 113.5 0.00011147053532841
116736 114 0.000112464546324131
117248 114.5 0.000113469169485988
117760 115 0.000114484006419731
118272 115.5 0.000115508685529487
118784 116 0.000116542871636303
119296 116.5 0.000117586239389299
119808 117 0.000118638514723539
120320 117.5 0.000119699539714827
120832 118 0.000120769193351397
121344 118.5 0.0001218472091305
121856 119 0.000122933120816489
122368 119.5 0.000124026424462366
122880 120 0.000125126732494011
123392 120.5 0.000126233725262991
123904 121 0.000127346993591916
124416 121.5 0.000128466003897903
124928 122 0.00012959020928294
125440 122.5 0.000130719183765695
125952 123 0.000131852717853743
126464 123.5 0.000132990735956027
126976 124 0.000134133077435623
127488 124.5 0.000135279465196456
128000 125 0.000136429797405924
128512 125.5 0.000137584350614675
129024 126 0.00013874347953962
129536 126.5 0.000139907166121431
130048 127 0.0001410750532973
130560 127.5 0.000142246843752612
131072 128 0.000143422362531933
131584 128.5 0.000144601154809629
132096 129 0.000145782209287255
132608 129.5 0.000146964088438413
133120 130 0.000148145143577927
133632 130.5 0.000149323546136787
134144 131 0.000150497251410372
134656 131.5 0.000151664025297625
135168 132 0.000152821476890267
135680 132.5 0.000153967124174958
136192 133 0.000155098575247094
136704 133.5 0.000156213682366731
137216 134 0.000157310456045294
137728 134.5 0.000158386861142622
138240 135 0.000159440854130524
138752 135.5 0.000160474076295267
139264 136 0.000161488059256308
139776 136.5 0.000162480664906531
140288 137 0.000163449293564527
140800 137.5 0.000164391249982257
141312 138 0.000165304486165916
141824 138.5 0.000166187493192948
142336 139 0.000167036761851801
142848 139.5 0.000167851487473277
143360 140 0.000168631179494524
143872 140.5 0.000169375199446841
144384 141 0.000170083095178155
144896 141.5 0.000170754471399504
145408 142 0.000171388489032962
145920 142.5 0.000171983654060055
146432 143 0.000172538197619179
146944 143.5 0.000173050523992992
147456 144 0.000173519219518592
147968 144.5 0.000173942891966471
148480 145 0.000174311497400587
148992 145.5 0.000174595945426131
149504 146 0.000174795127742895
150016 146.5 0.000174911166626066
150528 147 0.000174947209884652
151040 147.5 0.000174907775898205
151552 148 0.000174798348331931
152064 148.5 0.000174624383317067
152576 149 0.000174390843962568
153088 149.5 0.00017410258404286
153600 150 0.000173764731917204
154112 150.5 0.000173382423523161
154624 151 0.000172960248808907
155136 151.5 0.000172502060730238
155648 152 0.000172011194584544
156160 152.5 0.000171490671328204
156672 153 0.000170943223653274
157184 153.5 0.000170372791062319
157696 154 0.000169793877406377
158208 154.5 0.000169210500664421
158720 155 0.000168622383263947
159232 155.5 0.000168028983091854
159744 156 0.000167429380865483
160256 156.5 0.000166822604339709
160768 157 0.000166207843875907
161280 157.5 0.000165584318299704
161792 158 0.000164951013445428
162304 158.5 0.000164306674229094
162816 159 0.000163650082412535
163328 159.5 0.000162980261917327
163840 160 0.000162296375248474
164352 160.5 0.000161597523320088
164864 161 0.000160882760332267
165376 161.5 0.000160151260942337
165888 162 0.000159402350318016
166400 162.5 0.000158635374754859
166912 163 0.000157849671726688
167424 163.5 0.000157044725194588
167936 164 0.000156220277083837
168448 164.5 0.00015537623597548
168960 165 0.000154512535988586
169472 165.5 0.000153629143709108
169984 166 0.000152726158694219
170496 166.5 0.000151803519981523
171008 167 0.000150852838016807
171520 167.5 0.000149868784145224
172032 168 0.000148852949169471
172544 168.5 0.000147807876326659
173056 169 0.00014673672817257
173568 169.5 0.000145642467269474
174080 170 0.000144527273060876
174592 170.5 0.000143393657294376
175104 171 0.000142244372869095
175616 171.5 0.000141082005904271
176128 172 0.000139909243373053
176640 172.5 0.000138729019216283
177152 173 0.000137544465903876
177664 173.5 0.000136358650085675
178176 174 0.000135174330470391
178688 174.5 0.000133994007009993
179200 175 0.000132820242437356
179712 175.5 0.000131655566171162
180224 176 0.000130502030570489
180736 176.5 0.000129361068352398
181248 177 0.00012823368371521
181760 177.5 0.000127120741921623
182272 178 0.000126023016459372
182784 178.5 0.000124941021544497
183296 179 0.00012387495869565
183808 179.5 0.000122824735763462
184320 180 0.000121790089674818
184832 180.5 0.000120770642809799
185344 181 0.000119765862985876
185856 181.5 0.000118775066984577
186368 182 0.000117797505763886
186880 182.5 0.000116832419299703
187392 183 0.0001158790051026
187904 183.5 0.00011493642040973
188416 184 0.000114003904652361
188928 184.5 0.000113080896910494
189440 185 0.000112166982280279
189952 185.5 0.000111261755149102
190464 186 0.000110364824386719
190976 186.5 0.000109475962820644
191488 187 0.000108595181774235
192000 187.5 0.000107722631224971
192512 188 0.000106858473505801
193024 188.5 0.000106002883738301
193536 189 0.000105156134867066
194048 189.5 0.00010431863450174
194560 190 0.000103490872700568
195072 190.5 0.00010267334690472
195584 191 0.000101866534030055
196096 191.5 0.000101070915158477
196608 192 0.000100287003074824
197120 192.5 9.95153226557411e-05
197632 193 9.87563551803426e-05
198144 193.5 9.80105119310109e-05
198656 194 9.72781632926103e-05
199168 194.5 9.65596629524463e-05
199680 195 9.58553163019337e-05
200192 195.5 9.51653370123155e-05
200704 196 9.44898567703241e-05
201216 196.5 9.38289672945511e-05
201728 197 9.31827294792838e-05
202240 197.5 9.25511470511752e-05
202752 198 9.19341535245882e-05
203264 198.5 9.13316288462183e-05
203776 199 9.07434199891559e-05
204288 199.5 9.01693487676623e-05
204800 200 8.96092156867378e-05
205312 200.5 8.90628079828198e-05
205824 201 8.85299079404598e-05
206336 201.5 8.80103011161265e-05
206848 202 8.75037883496509e-05
207360 202.5 8.70101910905506e-05
207872 203 8.65293366912187e-05
208384 203.5 8.60610403917298e-05
208896 204 8.56051158389994e-05
209408 204.5 8.51613354482272e-05
209920 205 8.47294791739463e-05
210432 205.5 8.43093684318348e-05
210944 206 8.39008107564898e-05
211456 206.5 8.35036293897899e-05
211968 207 8.31177211914114e-05
212480 207.5 8.27430444143828e-05
212992 208 8.23795473843164e-05
213504 208.5 8.20271458269884e-05
214016 209 8.16854743625563e-05
214528 209.5 8.13529793937264e-05
215040 210 8.10295367327709e-05
215552 210.5 8.0715203052564e-05
216064 211 8.0410012444596e-05
216576 211.5 8.01140436717267e-05
217088 212 7.98274751857823e-05
217600 212.5 7.95505281881916e-05
218112 213 7.92833403359935e-05
218624 213.5 7.9026026378534e-05
219136 214 7.87787218308507e-05
219648 214.5 7.8541586869351e-05
220160 215 7.83147842962674e-05
220672 215.5 7.80984696430283e-05
221184 216 7.78927991411702e-05
221696 216.5 7.76979201401103e-05
222208 217 7.75139469004946e-05
222720 217.5 7.73440717537365e-05
223232 218 7.71968011737729e-05
223744 218.5 7.7072336909667e-05
224256 219 7.69702402687979e-05
224768 219.5 7.68899449669299e-05
225280 220 7.6831169048172e-05
225792 220.5 7.67935059386866e-05
226304 221 7.67763607038102e-05
226816 221.5 7.67789357499806e-05
227328 222 7.68002629891701e-05
227840 222.5 7.68392908360648e-05
228352 223 7.68949379263495e-05
228864 223.5 7.69660798950983e-05
229376 224 7.70515493274265e-05
229888 224.5 7.71502061695163e-05
230400 225 7.72610132098651e-05
230912 225.5 7.73830426019283e-05
231424 226 7.75154355839278e-05
231936 226.5 7.76573966303897e-05
232448 227 7.7808246129268e-05
232960 227.5 7.79674701730049e-05
233472 228 7.81347180326456e-05
233984 228.5 7.83097669870354e-05
234496 229 7.84924891758401e-05
235008 229.5 7.86825898833655e-05
235520 230 7.88661632672719e-05
236032 230.5 7.90352154853063e-05
236544 231 7.91926328272221e-05
237056 231.5 7.93422976364421e-05
237568 232 7.94887562002134e-05
238080 232.5 7.96369106635169e-05
238592 233 7.97919946516593e-05
239104 233.5 7.99602219103312e-05
239616 234 8.01448711950411e-05
240128 234.5 8.03481465919707e-05
240640 235 8.0571972523749e-05
241152 235.5 8.08194138783959e-05
241664 236 8.1091679158949e-05
242176 236.5 8.13885364329921e-05
242688 237 8.17088170671503e-05
243200 237.5 8.20506194270002e-05
243712 238 8.24114978064765e-05
244224 238.5 8.27886469226135e-05
244736 239 8.31790765959004e-05
245248 239.5 8.35798765506641e-05
245760 240 8.39884236888634e-05
246272 240.5 8.44026163243193e-05
