# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
98304 96 1.04103833554409
98816 96.5 1.04200737711079
99328 97 1.04310242134934
99840 97.5 1.04407089315102
100352 98 1.04504337349046
100864 98.5 1.04592690965472
101376 99 1.0453419518989
101888 99.5 1.04652576833296
102400 100 1.0477643076372
102912 100.5 1.04899504381562
103424 101 1.04852112039182
103936 101.5 1.04981705149678
104448 102 1.05097465283911
104960 102.5 1.05244669370344
105472 103 1.05380092736139
105984 103.5 1.05048556668734
106496 104 1.04815435494454
107008 104.5 1.03609527223443
107520 105 1.03734841342199
108032 105.5 1.03850983971399
108544 106 1.0398477101408
109056 106.5 1.04109631487793
109568 107 1.04207754976917
110080 107.5 1.04283457198454
110592 108 1.04313581109224
111104 108.5 1.04437882673565
111616 109 1.04577502910879
112128 109.5 1.04707565424145
112640 110 1.04800406291191
113152 110.5 1.04950274076245
113664 111 1.04828091838672
114176 111.5 1.04980356706565
114688 112 1.05135315641263
115200 112.5 1.05291184254032
115712 113 1.05446559081037
116224 113.5 1.05603813021462
116736 114 1.05760550679204
117248 114.5 1.05906876485119
117760 115 1.06062272151621
118272 115.5 1.06231330224051
118784 116 1.06385606232304
119296 116.5 1.06479372054486
119808 117 1.06556828893198
120320 117.5 1.05751506461697
120832 118 1.05903319649205
121344 118.5 1.06045223114668
121856 119 1.06217803329695
122368 119.5 1.05374315902833
122880 120 1.05539854203518
123392 120.5 1.05697879454029
123904 121 1.05858311048676
124416 121.5 1.06026723736647
124928 122 1.06175051286401
125440 122.5 1.06307297272636
125952 123 1.06260581753999
126464 123.5 1.06388960352031
126976 124 1.06558650673214
127488 124.5 1.06658456147663
128000 125 1.06170242923987
128512 125.5 1.06322619453379
129024 126 1.0647964903467
129536 126.5 1.06659012817316
130048 127 1.06825868563615
130560 127.5 1.06944565920076
131072 128 1.05430462340672
131584 128.5 1.05577828839609
132096 129 1.05756518620649
132608 129.5 1.05893743220223
133120 130 1.05676416640882
133632 130.5 1.05851458994238
134144 131 1.06038965992435
134656 131.5 1.06209982447014
135168 132 1.06316201422227
135680 132.5 1.06460410716758
136192 133 1.04137679845949
136704 133.5 1.04302397840701
137216 134 1.0445420847778
137728 134.5 1.04632989477795
138240 135 1.04798103054134
138752 135.5 1.04936560897255
139264 136 1.0503435751156
139776 136.5 1.0377508224731
140288 137 1.03934252183767
