# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
141824 138.5 3.75541165655455e-07 3.75541165639211e-07 3.75541165673089e-07
142336 139 3.74161233298116e-07 3.74161233291028e-07 3.74161233326256e-07
142848 139.5 3.6998610924355e-07 3.6998610922015e-07 3.69986109219262e-07
143360 140 3.68512085124928e-07 3.68512085108263e-07 3.6851208511961e-07
143872 140.5 3.66605432312849e-07 3.66605432276185e-07 3.66605432300045e-07
144384 141 3.62503914879602e-07 3.62503914871643e-07 3.62503914901419e-07
144896 141.5 3.59027437088205e-07 3.59027437093683e-07 3.59027437100486e-07
145408 142 3.5965475079246e-07 3.59654750752193e-07 3.59654750775034e-07
145920 142.5 3.59606435989584e-07 3.59606435964438e-07 3.59606435974672e-07
146432 143 3.53012653636179e-07 3.53012653618414e-07 3.53012653662305e-07
146944 143.5 3.51581905597836e-07 3.5158190557549e-07 3.51581905604328e-07
147456 144 3.55405571316802e-07 3.55405571281973e-07 3.5540557130388e-07
147968 144.5 3.53704444221646e-07 3.53704444227402e-07 3.53704444240135e-07
148480 145 3.4705661647405e-07 3.4705661647512e-07 3.47056616477931e-07
148992 145.5 3.44087772476839e-07 3.44087772469306e-07 3.44087772451552e-07
149504 146 3.4626347124125e-07 3.46263471216867e-07 3.46263471249244e-07
150016 146.5 3.45226177927817e-07 3.4522617792601e-07 3.45226177951258e-07
150528 147 3.43938100245417e-07 3.43938100245944e-07 3.43938100251275e-07
151040 147.5 3.42676937401999e-07 3.42676937405926e-07 3.42676937424451e-07
151552 148 3.45783074110747e-07 3.45783074104576e-07 3.45783074134627e-07
152064 148.5 3.47955966311595e-07 3.4795596631834e-07 3.47955966321605e-07
152576 149 3.41189443780678e-07 3.41189443762089e-07 3.41189443776559e-07
153088 149.5 3.34901349790264e-07 3.34901349751245e-07 3.34901349779599e-07
153600 150 3.37648572813788e-07 3.37648572815268e-07 3.37648572842889e-07
154112 150.5 3.36170943126292e-07 3.36170943126234e-07 3.36170943145499e-07
154624 151 3.31678922065111e-07 3.31678922036558e-07 3.31678922085934e-07
155136 151.5 3.31791484309038e-07 3.31791484299261e-07 3.31791484320057e-07
155648 152 3.32374779228825e-07 3.32374779195617e-07 3.32374779223355e-07
156160 152.5 3.34288346351163e-07 3.342883463295e-07 3.34288346370697e-07
156672 153 3.33150538441442e-07 3.3315053842199e-07 3.33150538450357e-07
157184 153.5 3.28686054106819e-07 3.28686054090804e-07 3.28686054103161e-07
157696 154 3.26905311196174e-07 3.26905311205803e-07 3.26905311185118e-07
158208 154.5 3.27361105670787e-07 3.27361105656398e-07 3.27361105667967e-07
158720 155 3.2790717592913e-07 3.27907175901495e-07 3.27907175925521e-07
159232 155.5 3.27515853020794e-07 3.27515853028487e-07 3.27515853040649e-07
159744 156 3.27360387510412e-07 3.27360387506649e-07 3.2736038753401e-07
160256 156.5 3.27074805338947e-07 3.27074805317155e-07 3.27074805373243e-07
160768 157 3.26039082266173e-07 3.26039082257209e-07 3.26039082291575e-07
161280 157.5 3.24712708021036e-07 3.2471270800619e-07 3.24712708028335e-07
161792 158 3.22467036786708e-07 3.22467036764324e-07 3.2246703679524e-07
162304 158.5 3.21153449372785e-07 3.21153449352354e-07 3.21153449408048e-07
162816 159 3.20535535429435e-07 3.20535535441929e-07 3.20535535454281e-07
163328 159.5 3.21504505308984e-07 3.21504505302466e-07 3.21504505325854e-07
163840 160 3.21037110232603e-07 3.21037110238091e-07 3.21037110247179e-07
164352 160.5 3.18204359154202e-07 3.18204359147292e-07 3.18204359166878e-07
164864 161 3.19641474089658e-07 3.19641474098771e-07 3.19641474103706e-07
165376 161.5 3.2080768704198e-07 3.20807687035886e-07 3.20807687041107e-07
165888 162 3.18541090580552e-07 3.18541090557443e-07 3.18541090587554e-07
166400 162.5 3.16937318714627e-07 3.16937318705324e-07 3.16937318697934e-07
166912 163 3.17109105480841e-07 3.17109105446577e-07 3.17109105504352e-07
167424 163.5 3.18084506980103e-07 3.18084506983682e-07 3.18084506986206e-07
167936 164 3.15831120182722e-07 3.15831120181852e-07 3.15831120190414e-07
168448 164.5 3.14314942823233e-07 3.14314942820164e-07 3.14314942832122e-07
168960 165 3.14287506295074e-07 3.14287506249479e-07 3.14287506291518e-07
169472 165.5 3.15869855371393e-07 3.15869855354966e-07 3.15869855376521e-07
169984 166 3.13486370579651e-07 3.13486370583704e-07 3.13486370610715e-07
170496 166.5 3.14256757805982e-07 3.14256757779621e-07 3.14256757821987e-07
171008 167 3.15376850361083e-07 3.15376850356675e-07 3.15376850359564e-07
171520 167.5 3.13962977337709e-07 3.1396297736564e-07 3.13962977366047e-07
172032 168 3.12506662048765e-07 3.12506662056728e-07 3.12506662062513e-07
172544 168.5 3.14282779280501e-07 3.14282779271824e-07 3.14282779278846e-07
173056 169 3.15121519621954e-07 3.1512151962464e-07 3.15121519630725e-07
173568 169.5 3.14846215350205e-07 3.14846215353713e-07 3.14846215375384e-07
174080 170 3.12524819892988e-07 3.12524819889753e-07 3.12524819911084e-07
174592 170.5 3.13261314145457e-07 3.13261314126348e-07 3.13261314117031e-07
