# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
94208 92 0.00022945556571315 0.000229455565713356 0.000229455565713658
94720 92.5 0.000230387404465795 0.000230387404465789 0.00023038740446708
95232 93 0.000231308116323802 0.000231308116323736 0.000231308116323816
95744 93.5 0.000232081603827203 0.000232081603827177 0.000232081603826234
96256 94 0.000232568676256282 0.000232568676256315 0.000232568676256277
96768 94.5 0.000232946641147734 0.000232946641147953 0.000232946641148574
97280 95 0.000233590987006018 0.000233590987006235 0.000233590987006082
97792 95.5 0.000234582895055816 0.000234582895055699 0.000234582895055239
98304 96 0.000235540072183157 0.000235540072182659 0.00023554007218302
98816 96.5 0.000236079310072006 0.000236079310071621 0.00023607931007244
99328 97 0.000236320326032965 0.00023632032603351 0.000236320326033623
99840 97.5 0.000236732452500715 0.000236732452501712 0.000236732452500876
100352 98 0.000237495269077147 0.000237495269077078 0.000237495269076258
100864 98.5 0.000238234426698082 0.000238234426696953 0.000238234426697245
101376 99 0.000238538513044636 0.000238538513044106 0.000238538513045226
101888 99.5 0.000238563643570392 0.000238563643571043 0.00023856364357165
102400 100 0.000238827052173191 0.000238827052173642 0.000238827052173329
102912 100.5 0.000239459568032036 0.000239459568031774 0.000239459568031068
103424 101 0.000240049603183975 0.00024004960318421 0.000240049603183509
103936 101.5 0.000240301986144377 0.000240301986144986 0.000240301986145002
104448 102 0.000240479260357066 0.000240479260357073 0.000240479260357098
104960 102.5 0.000240944391127621 0.000240944391127855 0.000240944391127622
105472 103 0.000241470345167421 0.000241470345167404 0.000241470345167169
105984 103.5 0.000242074949674667 0.000242074949674315 0.000242074949674844
106496 104 0.000242561038704222 0.000242561038703955 0.000242561038704969
107008 104.5 0.000242795844075687 0.000242795844075995 0.000242795844076062
107520 105 0.000242913057939901 0.000242913057940677 0.000242913057939514
108032 105.5 0.000243157398110926 0.000243157398111 0.000243157398110401
108544 106 0.000243601591631633 0.000243601591630653 0.000243601591631697
109056 106.5 0.000244082552115631 0.000244082552115052 0.000244082552116319
109568 107 0.000244381733528153 0.000244381733528376 0.00024438173352822
110080 107.5 0.000244441857586225 0.00024444185758639 0.000244441857585333
110592 108 0.000244433873526567 0.000244433873526948 0.00024443387352655
111104 108.5 0.000244594519955169 0.000244594519955924 0.000244594519956464
111616 109 0.00024495490366848 0.000244954903668498 0.000244954903669094
112128 109.5 0.000245289045592573 0.0002452890455919 0.000245289045592144
112640 110 0.000245395161788058 0.000245395161787794 0.000245395161787754
113152 110.5 0.000245357470990791 0.000245357470991006 0.000245357470990513
113664 111 0.000245420961774069 0.000245420961774375 0.000245420961773747
114176 111.5 0.000245654214768483 0.00024565421476878 0.00024565421476879
114688 112 0.000245882260782918 0.000245882260782676 0.000245882260783382
115200 112.5 0.000245944927635206 0.000245944927634658 0.000245944927635041
115712 113 0.000245885036799263 0.000245885036799576 0.000245885036799003
116224 113.5 0.000245854636932642 0.000245854636933232 0.000245854636932781
116736 114 0.000245931115708816 0.000245931115708103 0.000245931115708613
117248 114.5 0.000246065852720463 0.000246065852719407 0.000246065852719972
117760 115 0.000246165289307133 0.000246165289307521 0.000246165289307609
118272 115.5 0.000246190738327957 0.000246190738329027 0.000246190738328996
118784 116 0.000246188851572147 0.000246188851572414 0.000246188851571948
119296 116.5 0.0002462277092296 0.000246227709229089 0.000246227709228576
119808 117 0.000246300815403823 0.000246300815403168 0.000246300815403738
120320 117.5 0.000246320205663623 0.000246320205663484 0.000246320205664102
120832 118 0.000246233925171431 0.000246233925171893 0.000246233925171366
121344 118.5 0.000246115291933092 0.000246115291933407 0.000246115291933121
121856 119 0.000246065503169493 0.000246065503169342 0.000246065503169834
122368 119.5 0.000246052400422706 0.000246052400422834 0.000246052400422667
122880 120 0.00024595817181591 0.000245958171816515 0.000245958171815831
123392 120.5 0.000245790772089783 0.000245790772089782 0.000245790772089848
123904 121 0.000245703087430391 0.000245703087429397 0.000245703087429919
124416 121.5 0.000245750638084265 0.000245750638083694 0.000245750638083776
124928 122 0.000245775479853118 0.000245775479853743 0.000245775479853335
125440 122.5 0.000245625447591222 0.000245625447591819 0.000245625447591381
125952 123 0.000245372410131189 0.000245372410130862 0.000245372410131141
126464 123.5 0.000245197527278057 0.000245197527277701 0.000245197527278465
126976 124 0.000245138740258371 0.000245138740258714 0.000245138740258456
127488 124.5 0.000245075072833374 0.000245075072833826 0.000245075072832728
128000 125 0.000244924231078498 0.000244924231078034 0.000244924231078311
128512 125.5 0.000244729421511414 0.000244729421510435 0.000244729421511926
129024 126 0.000244538544720556 0.000244538544720707 0.000244538544720758
129536 126.5 0.000244320293338446 0.000244320293339395 0.000244320293337924
130048 127 0.000244060771066318 0.000244060771066259 0.000244060771065719
130560 127.5 0.0002438319223157 0.000243831922314943 0.000243831922315748
131072 128 0.000243667412765832 0.000243667412765834 0.000243667412766166
131584 128.5 0.000243467542978642 0.000243467542979208 0.000243467542978602
132096 129 0.00024314208463718 0.000243142084637175 0.000243142084637275
132608 129.5 0.000242763643867049 0.000242763643866536 0.000242763643867461
133120 130 0.000242456743478402 0.000242456743478348 0.000242456743478022
133632 130.5 0.00024219982197088 0.00024219982197136 0.000242199821970026
134144 131 0.000241865035478512 0.000241865035478742 0.000241865035478918
134656 131.5 0.000241427283113338 0.000241427283113024 0.000241427283114397
135168 132 0.000241009581919053 0.000241009581918436 0.000241009581918698
135680 132.5 0.00024069447959631 0.000240694479595816 0.000240694479595146
136192 133 0.000240395647731873 0.000240395647731914 0.000240395647731883
136704 133.5 0.000239991237520507 0.000239991237521007 0.000239991237521305
137216 134 0.000239501985106512 0.000239501985106978 0.00023950198510688
137728 134.5 0.000239028674504584 0.000239028674504698 0.000239028674504721
138240 135 0.000238576879494808 0.000238576879494526 0.000238576879494458
138752 135.5 0.000238077728318491 0.000238077728317952 0.000238077728317384
139264 136 0.000237545998530036 0.000237545998529919 0.000237545998530033
139776 136.5 0.000237073549783993 0.000237073549784313 0.000237073549785376
140288 137 0.000236658147522932 0.000236658147522985 0.000236658147522907
140800 137.5 0.000236167427334516 0.000236167427334507 0.000236167427333054
141312 138 0.000235527702188118 0.000235527702188474 0.000235527702188079
141824 138.5 0.00023485061965547 0.000234850619655835 0.000234850619656797
142336 139 0.000234285251690787 0.000234285251690788 0.000234285251691196
142848 139.5 0.000233809096213179 0.000233809096212652 0.000233809096212221
143360 140 0.000233265693529477 0.000233265693528573 0.000233265693528485
143872 140.5 0.000232579163775163 0.000232579163775081 0.000232579163775453
144384 141 0.000231835696766733 0.000231835696767899 0.000231835696767857
144896 141.5 0.00023114885640333 0.00023114885640379 0.000231148856403406
145408 142 0.000230521772323881 0.000230521772322771 0.000230521772323
145920 142.5 0.000229875281061394 0.000229875281061063 0.00022987528106159
146432 143 0.000229159656669067 0.000229159656670197 0.000229159656669927
146944 143.5 0.000228388728383459 0.00022838872838334 0.000228388728382887
147456 144 0.000227591081383648 0.000227591081382282 0.00022759108138263
147968 144.5 0.000226777435516957 0.000226777435517123 0.000226777435517447
148480 145 0.000225951510010409 0.000225951510011508 0.000225951510011093
148992 145.5 0.000225115604775929 0.000225115604775728 0.000225115604775392
149504 146 0.00022426310743139 0.000224263107430867 0.000224263107431165
150016 146.5 0.000223379263959564 0.000223379263959894 0.000223379263960253
150528 147 0.000222446326375229 0.000222446326375348 0.000222446326375278
151040 147.5 0.000221456309537219 0.000221456309537009 0.000221456309536824
151552 148 0.000220434742182982 0.000220434742183174 0.000220434742183445
152064 148.5 0.000219432557867149 0.000219432557867257 0.000219432557867387
152576 149 0.000218464944501755 0.000218464944501576 0.000218464944500759
153088 149.5 0.000217472583609525 0.000217472583609483 0.000217472583608908
153600 150 0.000216379082160648 0.000216379082160753 0.000216379082161424
154112 150.5 0.000215187113064047 0.000215187113064203 0.000215187113064752
154624 151 0.000213987664515026 0.000213987664515271 0.000213987664514767
155136 151.5 0.000212857941667212 0.000212857941667457 0.000212857941667192
155648 152 0.00021176738385816 0.000211767383858207 0.00021176738385878
156160 152.5 0.000210615711756879 0.000210615711756562 0.000210615711756679
156672 153 0.000209361471942278 0.00020936147194202 0.000209361471941198
157184 153.5 0.000208070705315233 0.000208070705315362 0.000208070705315055
157696 154 0.00020682166806536 0.000206821668065353 0.00020682166806615
158208 154.5 0.000205602640161266 0.000205602640161216 0.00020560264016169
158720 155 0.000204340441589315 0.000204340441589715 0.000204340441589192
159232 155.5 0.000203008787762924 0.000203008787762889 0.000203008787762535
159744 156 0.000201663632382277 0.000201663632381696 0.000201663632381976
160256 156.5 0.000200360826953809 0.000200360826954031 0.000200360826954131
160768 157 0.000199075393716523 0.000199075393717094 0.00019907539371697
161280 157.5 0.000197741375273944 0.000197741375273768 0.000197741375273666
161792 158 0.000196353292780394 0.000196353292780396 0.000196353292780117
162304 158.5 0.000194972329733332 0.000194972329733851 0.000194972329733832
162816 159 0.000193629679018166 0.000193629679017816 0.000193629679018275
163328 159.5 0.000192281417952419 0.000192281417951633 0.000192281417951609
163840 160 0.000190879294591699 0.00019087929459228 0.000190879294591718
164352 160.5 0.000189442973345184 0.000189442973346305 0.0001894429733462
